prestamo_id,cliente_id,tipo,monto_otorgado,tasa_anual,plazo_meses,fecha_otorgamiento,estado,provincia
P0072,C0818,Consumo,197000.0,1.06,48,2024-02-13,Al día,Buenos Aires
P0073,C0992,Personal,63000.0,0.55,36,2024-07-18,Al día,CABA
P0074,C0485,Automotriz,77000.0,0.91,24,2024-05-12,Al día,Córdoba
P0075,C0013,Personal,314000.0,1.77,36,2024-09-23,Al día,CABA
P0076,C0036,Automotriz,45000.0,1.51,60,2024-06-21,Al día,Santa Fe
P0077,C0673,Personal,209000.0,1.03,36,2024-06-28,Al día,CABA
P0078,C0871,Consumo,62000.0,0.73,60,2024-08-22,Cancelado,Buenos Aires
P0079,C0123,Automotriz,57000.0,1.69,24,2023-05-11,30 días mora,CABA
P0080,C0499,Hipotecario,230000.0,1.18,36,2024-01-19,Al día,Mendoza
P0081,C0983,Personal,127000.0,1.01,12,2023-06-23,Al día,Santa Fe
P0082,C0188,Automotriz,23000.0,1.62,12,2024-10-28,Al día,CABA
P0083,C0288,Consumo,135000.0,1.12,60,2023-10-11,Al día,Córdoba
P0084,C0580,Automotriz,63000.0,1.74,60,2024-02-19,Cancelado,Córdoba
P0085,C0809,PyME,86000.0,1.53,60,2023-05-20,Al día,Santa Fe
P0086,C0286,Personal,41000.0,1.1,12,2024-10-28,Al día,Buenos Aires
P0087,C0457,Personal,178000.0,1.36,60,2024-07-03,Al día,CABA
P0088,C0773,Automotriz,284000.0,1.22,24,2024-08-13,Al día,Buenos Aires
P0089,C0398,Consumo,61000.0,1.15,12,2024-12-15,90+ días mora,Buenos Aires
P0090,C0086,Personal,366000.0,1.6,36,2024-04-11,Al día,Rosario
P0091,C0454,PyME,169000.0,1.58,60,2023-09-21,Al día,CABA
P0092,C0431,Hipotecario,365000.0,1.15,48,2024-10-20,Al día,Córdoba
P0093,C0667,Personal,195000.0,1.57,60,2024-05-15,Al día,Córdoba
P0094,C0091,Hipotecario,201000.0,0.75,48,2024-04-11,Cancelado,Córdoba
P0095,C0052,Consumo,245000.0,1.51,24,2023-08-01,Cancelado,Rosario
P0096,C0186,PyME,143000.0,1.0,36,2024-11-25,90+ días mora,Buenos Aires
P0097,C0166,Personal,279000.0,0.71,12,2023-02-16,Al día,Buenos Aires
P0098,C0226,Personal,81000.0,0.63,48,2024-12-02,60 días mora,CABA
P0099,C0321,Hipotecario,238000.0,1.4,24,2023-10-28,Al día,Córdoba
P0100,C0750,Automotriz,89000.0,1.27,60,2024-12-21,60 días mora,Buenos Aires
P0101,C0646,Personal,44000.0,0.94,24,2024-04-26,Al día,CABA
P0102,C0433,Hipotecario,439000.0,1.77,60,2024-06-21,30 días mora,Rosario
P0103,C0049,Consumo,222000.0,0.91,36,2023-03-06,30 días mora,CABA
P0104,C0175,Automotriz,17000.0,1.04,48,2023-04-05,Al día,Buenos Aires
P0105,C0468,Automotriz,450000.0,0.65,24,2024-07-03,30 días mora,CABA
P0106,C0682,Automotriz,179000.0,1.69,48,2023-04-02,60 días mora,Rosario
P0107,C0761,Personal,166000.0,1.47,24,2024-05-24,Al día,Santa Fe
P0108,C0178,Consumo,984000.0,0.99,60,2024-02-14,Al día,Rosario
P0109,C0918,PyME,117000.0,1.75,48,2024-01-28,Al día,Buenos Aires
P0110,C0539,Consumo,134000.0,1.7,24,2023-04-10,Al día,CABA
P0111,C0896,Hipotecario,97000.0,1.8,24,2023-06-28,Al día,Santa Fe
P0112,C0688,PyME,2325000.0,1.18,36,2024-01-17,Al día,Rosario
P0113,C0833,Automotriz,173000.0,1.17,36,2023-12-09,60 días mora,Buenos Aires
P0114,C0628,Automotriz,591000.0,1.25,12,2023-03-15,Al día,Córdoba
P0115,C0038,Personal,624000.0,1.1,12,2023-05-30,30 días mora,CABA
P0116,C0212,Consumo,66000.0,1.47,12,2023-07-01,Cancelado,Buenos Aires
P0117,C0913,Personal,408000.0,1.12,60,2024-09-19,60 días mora,CABA
P0118,C0437,Personal,104000.0,0.7,60,2023-12-22,90+ días mora,CABA
P0119,C0074,Consumo,136000.0,0.99,60,2023-09-25,Al día,Buenos Aires
P0120,C0035,Hipotecario,68000.0,1.5,60,2023-02-10,Al día,Mendoza
P0121,C0677,Personal,171000.0,1.37,48,2023-08-27,Al día,Santa Fe
P0122,C0502,Consumo,131000.0,0.56,36,2023-09-19,Al día,Buenos Aires
P0123,C0651,Personal,357000.0,1.05,24,2024-12-02,60 días mora,Mendoza
P0124,C0788,Hipotecario,98000.0,0.67,12,2024-01-13,30 días mora,Buenos Aires
P0125,C0098,Personal,59000.0,1.41,60,2023-02-22,Al día,Córdoba
P0126,C0570,Consumo,296000.0,1.79,36,2024-10-19,90+ días mora,CABA
P0127,C0136,Automotriz,472000.0,0.99,24,2023-11-28,Al día,CABA
P0128,C0589,Consumo,331000.0,1.6,60,2023-09-22,Al día,CABA
P0129,C0509,Personal,436000.0,1.63,12,2023-01-24,Al día,Córdoba
P0130,C0494,Personal,161000.0,1.31,24,2024-02-17,Al día,CABA
P0131,C0039,Hipotecario,21000.0,0.6,12,2024-01-21,Al día,Buenos Aires
P0132,C0519,Personal,32000.0,0.78,60,2023-01-14,Al día,Santa Fe
P0133,C0465,Consumo,350000.0,1.41,48,2024-10-20,Al día,Buenos Aires
P0134,C0346,PyME,128000.0,0.65,12,2024-01-04,Al día,CABA
P0135,C0966,Automotriz,68000.0,1.64,48,2024-10-01,Al día,Buenos Aires
P0136,C0793,Hipotecario,278000.0,1.35,60,2023-06-24,Al día,Buenos Aires
P0137,C0638,Hipotecario,729000.0,0.56,24,2023-12-26,Al día,Buenos Aires
P0138,C0378,Consumo,268000.0,0.8,60,2024-01-17,Al día,Tucumán
P0139,C0217,Personal,1049000.0,1.56,24,2023-10-30,Al día,Santa Fe
P0140,C0331,Consumo,55000.0,1.52,24,2023-08-21,Al día,Santa Fe
P0141,C0858,Personal,836000.0,0.57,12,2024-05-19,Al día,Córdoba
P0142,C0022,PyME,40000.0,1.09,12,2024-12-18,Al día,Córdoba
P0143,C0065,Personal,17000.0,1.02,48,2023-08-24,Al día,Córdoba
P0144,C0594,Consumo,82000.0,1.47,24,2024-07-10,Al día,Santa Fe
P0145,C0294,Automotriz,177000.0,0.62,60,2023-07-07,30 días mora,Rosario
P0146,C0001,Personal,403000.0,1.06,48,2024-01-12,Al día,CABA
P0147,C0343,Personal,330000.0,0.75,48,2023-08-09,30 días mora,Buenos Aires
P0148,C0403,Consumo,133000.0,0.56,48,2024-01-16,Al día,Buenos Aires
P0149,C0795,Automotriz,202000.0,1.4,48,2024-03-09,Al día,Santa Fe
P0150,C0057,PyME,367000.0,1.11,24,2024-03-23,Al día,Buenos Aires
P0151,C0912,Automotriz,131000.0,1.17,60,2024-07-03,90+ días mora,Buenos Aires
P0152,C0229,Personal,339000.0,1.15,48,2024-08-08,Al día,CABA
P0153,C0755,Personal,48000.0,1.69,36,2024-07-14,30 días mora,Buenos Aires
P0154,C0093,Hipotecario,357000.0,1.33,60,2024-07-12,90+ días mora,Mendoza
P0155,C0767,Automotriz,175000.0,1.28,36,2023-05-25,Al día,Santa Fe
P0156,C0236,Consumo,221000.0,1.67,48,2023-08-28,60 días mora,Santa Fe
P0157,C0200,Consumo,404000.0,0.61,60,2023-04-03,30 días mora,Rosario
P0158,C0825,Personal,143000.0,1.51,36,2024-08-17,Al día,CABA
P0159,C0090,Consumo,684000.0,0.8,36,2023-05-16,30 días mora,Buenos Aires
P0160,C0501,Personal,112000.0,1.05,60,2023-09-04,Cancelado,Buenos Aires
P0161,C0991,Automotriz,254000.0,1.52,36,2023-09-27,Al día,Buenos Aires
P0162,C0691,Automotriz,35000.0,1.61,12,2023-11-12,Al día,Buenos Aires
P0163,C0250,Automotriz,17000.0,0.57,24,2023-01-16,Al día,Santa Fe
P0164,C0657,Automotriz,273000.0,1.15,24,2024-04-05,Al día,Mendoza
P0165,C0115,Personal,350000.0,1.49,24,2024-04-08,Al día,Rosario
P0166,C0014,Personal,37000.0,1.23,48,2023-12-10,90+ días mora,Mendoza
P0167,C0132,Hipotecario,14000.0,1.18,60,2024-11-06,Cancelado,Mendoza
P0168,C0204,Personal,250000.0,1.68,24,2024-07-22,Al día,Rosario
P0169,C0463,Personal,131000.0,0.79,48,2023-08-24,Al día,Buenos Aires
P0170,C0438,Consumo,117000.0,1.09,48,2023-01-20,Al día,Buenos Aires
P0171,C0723,Personal,174000.0,0.91,24,2024-12-30,Al día,Santa Fe
P0172,C0376,Automotriz,272000.0,1.58,12,2023-08-24,60 días mora,Buenos Aires
P0173,C0760,Personal,402000.0,0.87,24,2024-01-13,Al día,Rosario
P0174,C0349,Automotriz,127000.0,0.59,48,2024-04-06,60 días mora,Rosario
P0175,C0934,Personal,301000.0,0.56,60,2024-04-28,Al día,CABA
P0176,C0785,Automotriz,862000.0,0.64,48,2023-01-26,Al día,Santa Fe
P0177,C0595,Consumo,143000.0,0.79,36,2023-11-19,Al día,Buenos Aires
P0178,C0996,Personal,56000.0,0.93,12,2023-04-29,60 días mora,Córdoba
P0179,C0303,Personal,138000.0,0.75,36,2023-08-12,Al día,Buenos Aires
P0180,C0846,Personal,124000.0,1.68,12,2024-02-13,Al día,Santa Fe
P0181,C0547,Personal,163000.0,0.76,12,2024-02-24,90+ días mora,Córdoba
P0182,C0929,PyME,732000.0,0.71,12,2023-06-25,Al día,Mendoza
P0183,C0787,Hipotecario,459000.0,1.58,36,2023-05-14,60 días mora,Buenos Aires
P0184,C0921,Consumo,21000.0,1.37,24,2024-03-04,Al día,Rosario
P0185,C0835,Automotriz,54000.0,0.7,36,2023-08-13,Al día,Mendoza
P0186,C0379,PyME,172000.0,1.3,60,2024-12-09,Al día,Santa Fe
P0187,C0631,Consumo,242000.0,0.91,36,2024-12-12,Al día,CABA
P0188,C0534,Hipotecario,299000.0,1.25,12,2024-04-18,Al día,Mendoza
P0189,C0956,Personal,739000.0,1.5,48,2024-05-10,Al día,CABA
P0190,C0924,Consumo,278000.0,0.89,36,2024-11-27,Al día,Buenos Aires
P0191,C0312,Personal,556000.0,0.61,36,2023-07-24,Al día,CABA
P0192,C0695,Consumo,233000.0,1.13,24,2023-10-29,Al día,Buenos Aires
P0193,C0071,Hipotecario,266000.0,1.51,24,2024-04-18,30 días mora,Tucumán
P0194,C0307,Automotriz,340000.0,0.9,48,2024-09-22,Al día,Buenos Aires
P0195,C0571,Personal,120000.0,1.42,48,2024-02-09,Al día,Mendoza
P0196,C0369,Personal,79000.0,1.22,48,2024-09-28,Al día,Mendoza
P0197,C0435,Personal,182000.0,1.45,24,2024-08-10,Al día,CABA
P0198,C0526,Personal,381000.0,0.7,48,2024-05-09,Al día,Buenos Aires
P0199,C0736,Personal,350000.0,1.67,60,2023-05-27,60 días mora,Buenos Aires
P0200,C0002,Automotriz,161000.0,1.62,24,2023-10-14,Al día,CABA
P0201,C0169,Personal,469000.0,1.24,24,2024-01-04,30 días mora,Buenos Aires
P0202,C0253,Personal,252000.0,1.72,24,2024-02-25,Cancelado,CABA
P0203,C0804,Hipotecario,66000.0,1.16,24,2023-08-05,30 días mora,Córdoba
P0204,C0230,Automotriz,296000.0,1.07,36,2024-08-15,Al día,Mendoza
P0205,C0741,Personal,172000.0,1.54,60,2023-10-23,Al día,Buenos Aires
P0206,C0504,Consumo,426000.0,0.85,24,2023-04-02,Al día,Buenos Aires
P0207,C0381,Personal,250000.0,1.52,36,2023-09-19,Al día,CABA
P0208,C0027,Personal,258000.0,1.23,24,2024-11-09,Al día,Córdoba
P0209,C0459,Personal,77000.0,0.79,60,2024-05-23,Al día,Santa Fe
P0210,C0820,Personal,149000.0,0.94,24,2024-01-31,Al día,Tucumán
P0211,C0708,Personal,1450000.0,1.41,36,2024-02-06,Al día,CABA
P0212,C0637,Hipotecario,18000.0,1.67,48,2023-04-07,60 días mora,Córdoba
P0213,C0412,Automotriz,52000.0,1.65,24,2023-08-12,Cancelado,Santa Fe
P0214,C0330,PyME,51000.0,1.62,60,2023-06-20,60 días mora,CABA
P0215,C0660,Automotriz,118000.0,0.73,60,2023-03-19,Cancelado,CABA
P0216,C0586,Consumo,184000.0,0.59,48,2024-11-22,Al día,Córdoba
P0217,C0061,Hipotecario,72000.0,1.07,60,2023-05-10,30 días mora,Santa Fe
P0218,C0672,Consumo,181000.0,0.98,48,2024-12-27,Al día,Tucumán
P0219,C0976,Automotriz,162000.0,1.76,24,2024-12-10,30 días mora,CABA
P0220,C0898,Automotriz,68000.0,1.15,60,2023-01-16,60 días mora,Buenos Aires
P0221,C0776,Hipotecario,35000.0,1.24,48,2023-10-28,Al día,Buenos Aires
P0222,C0429,Consumo,118000.0,1.23,12,2023-07-18,Cancelado,CABA
P0223,C0676,Personal,284000.0,0.84,60,2024-09-22,Al día,Rosario
P0224,C0935,Automotriz,297000.0,1.47,24,2023-05-19,Al día,CABA
P0225,C0915,PyME,43000.0,0.79,60,2024-01-01,30 días mora,CABA
P0226,C0173,Personal,595000.0,1.44,48,2024-10-09,Al día,Santa Fe
P0227,C0484,Personal,40000.0,1.65,60,2023-10-11,Al día,Buenos Aires
P0228,C0862,Personal,449000.0,0.78,24,2024-02-14,Al día,Buenos Aires
P0229,C0395,Hipotecario,876000.0,1.32,48,2024-07-13,Al día,Tucumán
P0230,C0639,Automotriz,118000.0,0.79,36,2024-12-30,Al día,CABA
P0231,C0916,Personal,232000.0,1.75,48,2024-09-09,Al día,Mendoza
P0232,C0161,Automotriz,98000.0,1.48,60,2023-07-05,30 días mora,Buenos Aires
P0233,C0191,Consumo,52000.0,0.83,60,2024-08-04,30 días mora,CABA
P0234,C0305,Hipotecario,133000.0,1.01,12,2024-09-06,Al día,Tucumán
P0235,C0073,Personal,135000.0,0.82,60,2024-08-23,Al día,Buenos Aires
P0236,C0029,Automotriz,113000.0,0.77,36,2024-09-28,Al día,Buenos Aires
P0237,C0231,Automotriz,90000.0,0.86,12,2024-06-16,Al día,Santa Fe
P0238,C0114,PyME,101000.0,1.68,12,2023-09-23,Al día,Buenos Aires
P0239,C0860,PyME,219000.0,1.22,36,2024-08-21,Al día,Buenos Aires
P0240,C0979,Personal,183000.0,0.92,60,2024-03-05,30 días mora,Buenos Aires
P0241,C0887,Personal,1053000.0,0.72,48,2024-03-17,Al día,Buenos Aires
P0242,C0392,PyME,229000.0,0.84,60,2023-06-21,Al día,Mendoza
P0243,C0926,Automotriz,346000.0,1.13,60,2023-09-17,Al día,Buenos Aires
P0244,C0546,Personal,684000.0,0.89,36,2023-01-29,Al día,Córdoba
P0245,C0060,Personal,303000.0,1.79,48,2024-01-09,Al día,Buenos Aires
P0246,C0592,Consumo,207000.0,0.67,36,2023-01-05,Al día,Buenos Aires
P0247,C0140,Consumo,42000.0,1.75,60,2024-05-14,90+ días mora,Mendoza
P0248,C0280,Personal,110000.0,1.42,60,2023-07-18,60 días mora,Tucumán
P0249,C0259,Personal,96000.0,1.0,24,2024-12-26,90+ días mora,Buenos Aires
P0250,C0271,Automotriz,306000.0,0.92,24,2023-03-24,Al día,CABA
P0251,C0585,Automotriz,1275000.0,0.61,12,2024-03-11,30 días mora,Santa Fe
P0252,C0989,Consumo,109000.0,1.67,12,2024-01-15,30 días mora,Córdoba
P0253,C0347,Personal,51000.0,1.51,36,2023-09-13,30 días mora,Santa Fe
P0254,C0706,PyME,623000.0,1.36,12,2024-04-20,Al día,CABA
P0255,C0985,Personal,117000.0,1.51,60,2024-09-25,Al día,CABA
P0256,C0072,Automotriz,43000.0,1.33,48,2023-08-28,Cancelado,Buenos Aires
P0257,C0997,Personal,66000.0,1.15,60,2023-12-10,60 días mora,CABA
P0258,C0568,Hipotecario,176000.0,1.76,24,2023-07-17,Al día,Córdoba
P0259,C0183,Personal,241000.0,1.51,12,2024-12-23,Al día,Santa Fe
P0260,C0847,Consumo,364000.0,1.22,36,2023-03-22,30 días mora,Rosario
P0261,C0781,Consumo,205000.0,1.73,12,2024-08-19,Al día,Santa Fe
P0262,C0642,Automotriz,10000.0,1.24,60,2024-02-17,Cancelado,Córdoba
P0263,C0461,Automotriz,2036000.0,1.15,12,2023-07-22,Al día,Santa Fe
P0264,C0798,Hipotecario,101000.0,0.64,24,2024-11-02,Al día,CABA
P0265,C0790,Hipotecario,118000.0,1.73,24,2023-05-15,30 días mora,Córdoba
P0266,C0390,Consumo,373000.0,1.16,12,2024-05-22,Al día,Buenos Aires
P0267,C0296,Consumo,366000.0,1.02,60,2024-04-16,Al día,Rosario
P0268,C0386,Automotriz,485000.0,0.57,60,2023-12-01,Al día,Córdoba
P0269,C0841,Consumo,102000.0,1.56,36,2024-10-23,Al día,Santa Fe
P0270,C0859,Personal,114000.0,1.21,48,2024-04-04,Al día,Buenos Aires
P0271,C0209,PyME,144000.0,1.53,24,2024-12-28,Al día,Santa Fe
P0272,C0977,Consumo,188000.0,1.75,12,2024-09-28,Al día,CABA
P0273,C0482,Personal,134000.0,1.69,48,2024-08-09,Al día,Buenos Aires
P0274,C0737,Consumo,692000.0,1.67,24,2024-10-11,Al día,Santa Fe
P0275,C0566,PyME,18000.0,0.82,36,2024-06-09,30 días mora,CABA
P0276,C0505,Personal,976000.0,1.34,12,2024-08-28,60 días mora,Tucumán
P0277,C0327,Automotriz,444000.0,1.29,60,2024-06-23,30 días mora,Buenos Aires
P0278,C0840,Personal,293000.0,1.5,48,2024-02-18,Al día,Buenos Aires
P0279,C0010,Consumo,201000.0,0.78,60,2024-06-22,90+ días mora,Buenos Aires
P0280,C0746,Automotriz,28000.0,0.81,48,2024-01-30,Al día,CABA
P0281,C0969,Consumo,247000.0,1.43,48,2024-01-29,Al día,CABA
P0282,C0272,PyME,61000.0,1.76,24,2024-06-03,Cancelado,Buenos Aires
P0283,C0245,Consumo,109000.0,0.79,36,2024-03-20,Al día,CABA
P0284,C0277,Personal,18000.0,1.77,24,2024-04-14,Al día,Santa Fe
P0285,C0537,Consumo,171000.0,0.55,24,2024-07-03,Al día,Buenos Aires
P0286,C0149,Personal,336000.0,1.51,60,2023-11-26,Al día,Buenos Aires
P0287,C0360,Personal,127000.0,1.35,24,2024-12-18,Al día,Córdoba
P0288,C0167,PyME,207000.0,1.44,12,2023-06-10,Al día,Mendoza
P0289,C0262,Consumo,443000.0,1.59,12,2024-10-27,Al día,CABA
P0290,C0048,Consumo,103000.0,0.72,36,2024-06-25,Al día,Santa Fe
P0291,C0634,PyME,17000.0,1.16,24,2023-09-15,Al día,Santa Fe
P0292,C0720,Hipotecario,144000.0,1.68,36,2024-08-13,Al día,Córdoba
P0293,C0358,Automotriz,25000.0,1.78,12,2024-06-19,Al día,Tucumán
P0294,C0129,PyME,441000.0,1.35,12,2023-12-08,30 días mora,CABA
P0295,C0999,PyME,164000.0,1.67,36,2024-01-27,Al día,CABA
P0296,C0946,Automotriz,101000.0,0.86,12,2024-10-25,Al día,CABA
P0297,C0507,Personal,131000.0,1.52,12,2023-04-06,Al día,Buenos Aires
P0298,C0874,Automotriz,186000.0,1.63,36,2023-09-25,Al día,Mendoza
P0299,C0480,PyME,681000.0,1.74,12,2023-12-22,Al día,Buenos Aires
P0300,C0780,Consumo,181000.0,1.27,12,2024-03-25,Al día,Mendoza
P0301,C0397,Consumo,100000.0,1.78,12,2023-03-01,Al día,CABA
P0302,C0797,Personal,226000.0,1.51,36,2024-09-02,Al día,Buenos Aires
P0303,C0031,Automotriz,247000.0,1.22,60,2024-12-25,Al día,Buenos Aires
P0304,C0664,Personal,380000.0,0.63,12,2024-09-08,Al día,CABA
P0305,C0214,Consumo,116000.0,0.62,48,2023-10-06,30 días mora,Buenos Aires
P0306,C0170,Personal,59000.0,1.56,24,2023-08-10,30 días mora,Buenos Aires
P0307,C0975,Personal,111000.0,1.59,36,2024-01-05,Al día,Santa Fe
P0308,C0199,Personal,438000.0,1.66,36,2023-09-28,90+ días mora,Buenos Aires
P0309,C0712,Personal,186000.0,1.21,12,2023-05-15,Al día,CABA
P0310,C0399,Personal,110000.0,0.69,36,2023-12-18,Al día,CABA
P0311,C0721,Personal,139000.0,1.67,48,2023-07-23,30 días mora,Buenos Aires
P0312,C0608,Personal,989000.0,1.02,36,2023-05-17,Al día,Córdoba
P0313,C0159,Hipotecario,74000.0,1.39,24,2024-09-09,30 días mora,Santa Fe
P0314,C0744,Automotriz,106000.0,1.65,60,2024-06-15,Al día,Buenos Aires
P0315,C0096,Consumo,621000.0,0.72,60,2024-03-20,Al día,Córdoba
P0316,C0157,Personal,55000.0,1.33,36,2024-08-12,Al día,Buenos Aires
P0317,C0644,Personal,26000.0,1.63,60,2024-04-06,Al día,Buenos Aires
P0318,C0308,Consumo,63000.0,0.67,36,2024-03-29,Al día,CABA
P0319,C0394,Personal,126000.0,0.59,24,2024-07-31,Al día,Córdoba
P0320,C0645,Personal,91000.0,0.71,48,2024-11-27,Al día,CABA
P0321,C0109,Personal,181000.0,1.79,48,2023-06-19,30 días mora,CABA
P0322,C0573,Hipotecario,298000.0,1.46,36,2023-10-09,Al día,Buenos Aires
P0323,C0117,Consumo,460000.0,1.3,24,2023-06-06,90+ días mora,Mendoza
P0324,C0900,Consumo,179000.0,1.28,12,2024-06-03,Al día,CABA
P0325,C0260,Personal,246000.0,1.47,12,2024-11-09,30 días mora,Buenos Aires
P0326,C0700,Personal,181000.0,1.25,36,2024-08-27,Al día,CABA
P0327,C0747,Hipotecario,423000.0,0.55,12,2024-05-12,Al día,CABA
P0328,C0807,Personal,350000.0,0.83,48,2023-12-27,Al día,Córdoba
P0329,C0615,Personal,111000.0,1.46,60,2023-11-15,Cancelado,Santa Fe
P0330,C0617,Automotriz,233000.0,1.64,36,2023-10-16,60 días mora,Córdoba
P0331,C0309,Automotriz,118000.0,1.27,60,2024-03-18,Al día,CABA
