tarjeta_id,cliente_id,tipo_tarjeta,limite_credito,fecha_emision,activa
T00072,C0032,Visa Débito,0,2024-05-05,0
T00073,C0032,Visa Crédito,720000,2024-03-27,0
T00074,C0033,Visa Débito,0,2023-04-26,1
T00075,C0033,Visa Crédito,470000,2023-08-23,1
T00076,C0034,Visa Débito,0,2014-09-23,1
T00077,C0035,Visa Débito,0,2023-06-10,0
T00078,C0036,Visa Débito,0,2023-10-19,1
T00079,C0037,Visa Débito,0,2020-01-23,1
T00080,C0037,Visa Crédito,310000,2024-01-15,1
T00081,C0038,Visa Débito,0,2010-04-26,1
T00082,C0038,Mastercard Crédito,10180000,2024-08-27,1
T00083,C0039,Visa Débito,0,2024-11-01,0
T00084,C0039,Visa Crédito,720000,2024-03-02,0
T00085,C0040,Visa Débito,0,2024-11-11,1
T00086,C0040,Visa Crédito,240000,2024-11-26,1
T00087,C0040,Mastercard Crédito,700000,2024-11-15,1
T00088,C0041,Visa Débito,0,2021-08-15,1
T00089,C0041,Visa Crédito,3210000,2024-08-18,1
T00090,C0041,Amex Crédito,2890000,2024-08-02,1
T00091,C0042,Visa Débito,0,2024-08-29,1
T00092,C0043,Visa Débito,0,2023-04-21,1
T00093,C0043,Mastercard Crédito,1070000,2022-04-01,1
T00094,C0044,Visa Débito,0,2024-09-09,1
T00095,C0044,Visa Crédito,140000,2024-09-22,1
T00096,C0045,Visa Débito,0,2021-01-26,1
T00097,C0045,Visa Crédito,490000,2020-06-01,1
T00098,C0045,Mastercard Crédito,550000,2023-12-05,1
T00099,C0046,Visa Débito,0,2024-05-11,0
T00100,C0047,Visa Débito,0,2019-06-05,1
T00101,C0047,Mastercard Crédito,880000,2017-12-04,1
T00102,C0048,Visa Débito,0,2020-03-27,1
T00103,C0048,Mastercard Crédito,530000,2021-07-28,1
T00104,C0048,Visa Crédito,860000,2024-10-13,1
T00105,C0050,Visa Débito,0,2024-08-31,1
T00106,C0050,Visa Crédito,670000,2023-09-07,1
T00107,C0051,Visa Débito,0,2024-05-15,1
T00108,C0051,Mastercard Crédito,740000,2024-03-16,1
T00109,C0051,Visa Crédito,820000,2024-06-12,1
T00110,C0052,Visa Débito,0,2024-11-28,1
T00111,C0052,Mastercard Crédito,210000,2024-11-26,1
T00112,C0053,Visa Débito,0,2020-11-13,1
T00113,C0053,Amex Crédito,8970000,2022-01-30,1
T00114,C0053,Mastercard Crédito,8270000,2023-02-25,1
T00115,C0054,Visa Débito,0,2021-08-11,1
T00116,C0055,Visa Débito,0,2024-08-07,1
T00117,C0055,Visa Crédito,370000,2024-08-05,1
T00118,C0056,Visa Débito,0,2024-11-24,0
T00119,C0056,Visa Crédito,750000,2024-11-29,1
T00120,C0057,Visa Débito,0,2023-06-25,1
T00121,C0057,Visa Crédito,640000,2018-06-12,1
T00122,C0058,Visa Débito,0,2017-04-16,1
T00123,C0058,Visa Crédito,6450000,2013-11-18,1
T00124,C0058,Amex Crédito,8820000,2021-10-13,1
T00125,C0059,Visa Débito,0,2024-05-30,0
T00126,C0059,Mastercard Crédito,140000,2024-09-03,0
T00127,C0060,Visa Débito,0,2018-11-01,1
T00128,C0060,Mastercard Crédito,4380000,2021-01-27,1
T00129,C0060,Amex Crédito,4260000,2020-02-16,1
T00130,C0060,Visa Crédito,3070000,2022-02-19,1
T00131,C0061,Visa Débito,0,2024-07-30,1
T00132,C0061,Visa Crédito,3050000,2020-09-29,1
T00133,C0061,Mastercard Crédito,2580000,2021-03-05,1
T00134,C0061,Amex Crédito,3190000,2024-02-07,1
T00135,C0062,Visa Débito,0,2019-08-06,1
T00136,C0062,Mastercard Crédito,7420000,2023-03-27,1
T00137,C0062,Visa Crédito,5470000,2016-10-07,1
T00138,C0062,Amex Crédito,5760000,2021-06-22,1
T00139,C0063,Visa Débito,0,2024-05-09,1
T00140,C0063,Amex Crédito,2220000,2024-11-24,1
T00141,C0063,Mastercard Crédito,2660000,2024-08-17,1
T00142,C0063,Visa Crédito,3050000,2024-02-21,1
T00143,C0064,Visa Débito,0,2022-06-27,1
T00144,C0065,Visa Débito,0,2023-03-11,1
T00145,C0066,Visa Débito,0,2024-11-13,1
T00146,C0066,Visa Crédito,560000,2023-07-02,1
T00147,C0066,Mastercard Crédito,380000,2022-12-11,1
T00148,C0067,Visa Débito,0,2022-04-18,1
T00149,C0068,Visa Débito,0,2015-11-10,1
T00150,C0069,Visa Débito,0,2022-12-28,1
T00151,C0069,Mastercard Crédito,980000,2023-05-31,1
T00152,C0070,Visa Débito,0,2022-08-16,0
T00153,C0070,Visa Crédito,2760000,2014-03-17,0
T00154,C0071,Visa Débito,0,2018-01-20,1
T00155,C0071,Visa Crédito,4910000,2024-05-22,0
T00156,C0071,Mastercard Crédito,3520000,2019-02-08,1
T00157,C0071,Amex Crédito,2890000,2021-12-22,1
T00158,C0072,Visa Débito,0,2024-11-27,1
T00159,C0072,Amex Crédito,7190000,2024-11-29,1
T00160,C0072,Visa Crédito,6570000,2024-11-26,1
T00161,C0072,Mastercard Crédito,5140000,2024-11-27,1
T00162,C0073,Visa Débito,0,2016-02-10,1
T00163,C0073,Visa Crédito,900000,2018-02-08,1
T00164,C0073,Mastercard Crédito,1090000,2015-08-17,1
T00165,C0074,Visa Débito,0,2023-01-16,1
T00166,C0074,Mastercard Crédito,740000,2023-10-27,0
T00167,C0074,Visa Crédito,590000,2022-12-22,0
T00168,C0075,Visa Débito,0,2022-04-21,1
T00169,C0076,Visa Débito,0,2024-07-25,1
T00170,C0077,Visa Débito,0,2024-10-07,1
T00171,C0077,Amex Crédito,560000,2024-09-20,1
T00172,C0077,Visa Crédito,520000,2024-07-22,1
T00173,C0078,Visa Débito,0,2024-10-26,1
T00174,C0078,Visa Crédito,1020000,2024-11-11,1
T00175,C0079,Visa Débito,0,2024-11-28,1
T00176,C0079,Visa Crédito,2200000,2024-11-28,0
T00177,C0079,Mastercard Crédito,2800000,2024-11-28,0
T00178,C0080,Visa Débito,0,2022-05-17,1
T00179,C0080,Amex Crédito,3650000,2023-02-19,1
T00180,C0080,Visa Crédito,2780000,2023-07-22,1
T00181,C0081,Visa Débito,0,2024-05-01,1
T00182,C0081,Mastercard Crédito,1170000,2023-11-13,1
T00183,C0081,Visa Crédito,1650000,2022-09-25,1
T00184,C0081,Amex Crédito,1370000,2024-10-05,1
T00185,C0082,Visa Débito,0,2023-11-10,1
T00186,C0082,Visa Crédito,890000,2024-01-11,1
T00187,C0083,Visa Débito,0,2024-06-12,1
T00188,C0084,Visa Débito,0,2017-11-21,1
T00189,C0084,Visa Crédito,5190000,2018-06-08,1
T00190,C0084,Mastercard Crédito,3840000,2016-06-18,1
T00191,C0084,Amex Crédito,2830000,2022-04-22,1
T00192,C0085,Visa Débito,0,2019-11-20,1
T00193,C0085,Mastercard Crédito,2360000,2021-09-16,1
T00194,C0085,Visa Crédito,3200000,2016-06-09,1
T00195,C0085,Amex Crédito,2200000,2020-12-01,1
T00196,C0086,Visa Débito,0,2024-10-10,1
T00197,C0087,Visa Débito,0,2022-09-18,1
T00198,C0088,Visa Débito,0,2021-07-07,1
T00199,C0088,Visa Crédito,680000,2015-09-24,1
T00200,C0088,Mastercard Crédito,600000,2022-06-25,1
T00201,C0089,Visa Débito,0,2023-04-28,0
T00202,C0089,Mastercard Crédito,4990000,2024-10-05,0
T00203,C0089,Amex Crédito,4220000,2023-10-11,1
T00204,C0089,Visa Crédito,2540000,2023-08-07,0
T00205,C0090,Visa Débito,0,2019-05-24,0
T00206,C0090,Mastercard Crédito,300000,2017-08-10,1
T00207,C0091,Visa Débito,0,2024-10-22,1
T00208,C0091,Mastercard Crédito,1870000,2024-10-25,1
T00209,C0091,Amex Crédito,2470000,2024-09-17,1
T00210,C0091,Visa Crédito,2770000,2024-08-31,1
T00211,C0092,Visa Débito,0,2024-09-17,1
T00212,C0092,Visa Crédito,320000,2024-06-13,1
T00213,C0092,Mastercard Crédito,400000,2024-05-01,1
T00214,C0093,Visa Débito,0,2024-11-18,1
T00215,C0093,Visa Crédito,590000,2024-09-02,1
T00216,C0093,Mastercard Crédito,510000,2024-08-28,1
T00217,C0094,Visa Débito,0,2023-07-07,1
T00218,C0094,Mastercard Crédito,330000,2024-06-20,1
T00219,C0094,Visa Crédito,490000,2023-06-10,1
T00220,C0095,Visa Débito,0,2016-11-19,0
T00221,C0095,Amex Crédito,2770000,2019-11-19,0
T00222,C0095,Mastercard Crédito,2840000,2014-08-24,0
T00223,C0096,Visa Débito,0,2023-09-21,1
T00224,C0096,Visa Crédito,620000,2024-02-05,1
T00225,C0096,Amex Crédito,630000,2022-04-15,1
T00226,C0097,Visa Débito,0,2023-12-31,0
T00227,C0098,Visa Débito,0,2024-09-11,1
T00228,C0099,Visa Débito,0,2021-03-27,1
T00229,C0099,Mastercard Crédito,740000,2020-11-18,1
T00230,C0099,Amex Crédito,1020000,2016-06-14,1
T00231,C0100,Visa Débito,0,2024-08-10,1
T00232,C0100,Amex Crédito,970000,2023-12-12,1
T00233,C0100,Mastercard Crédito,1830000,2024-02-09,1
T00234,C0101,Visa Débito,0,2019-07-16,1
T00235,C0101,Visa Crédito,370000,2018-10-03,1
T00236,C0101,Amex Crédito,280000,2022-07-01,1
T00237,C0102,Visa Débito,0,2024-01-26,1
T00238,C0103,Visa Débito,0,2023-11-15,1
T00239,C0103,Visa Crédito,100000,2023-06-23,1
T00240,C0104,Visa Débito,0,2021-11-27,1
T00241,C0104,Visa Crédito,7570000,2021-12-24,1
T00242,C0104,Amex Crédito,9650000,2024-07-10,1
T00243,C0105,Visa Débito,0,2021-11-25,1
T00244,C0105,Visa Crédito,2350000,2017-11-05,1
T00245,C0105,Amex Crédito,3130000,2016-04-29,1
T00246,C0105,Mastercard Crédito,2290000,2020-08-22,1
T00247,C0106,Visa Débito,0,2024-05-15,1
T00248,C0106,Visa Crédito,100000,2024-07-27,1
T00249,C0107,Visa Débito,0,2024-05-06,1
T00250,C0107,Visa Crédito,3500000,2024-07-05,1
T00251,C0107,Amex Crédito,2220000,2023-06-30,1
T00252,C0108,Visa Débito,0,2022-02-17,1
T00253,C0108,Visa Crédito,870000,2021-11-22,1
T00254,C0109,Visa Débito,0,2024-10-26,1
T00255,C0110,Visa Débito,0,2024-11-06,0
T00256,C0110,Mastercard Crédito,100000,2024-04-05,0
T00257,C0111,Visa Débito,0,2023-06-04,1
T00258,C0111,Visa Crédito,640000,2022-05-06,1
T00259,C0111,Mastercard Crédito,480000,2024-07-03,1
T00260,C0112,Visa Débito,0,2024-11-20,1
T00261,C0112,Mastercard Crédito,630000,2024-07-20,1
T00262,C0112,Visa Crédito,1230000,2024-05-16,1
T00263,C0113,Visa Débito,0,2024-11-27,0
T00264,C0113,Visa Crédito,1140000,2024-09-05,0
T00265,C0113,Amex Crédito,1170000,2024-03-28,0
T00266,C0114,Visa Débito,0,2024-09-09,1
T00267,C0115,Visa Débito,0,2024-04-21,1
T00268,C0115,Amex Crédito,2060000,2021-04-19,1
T00269,C0116,Visa Débito,0,2024-11-28,1
T00270,C0116,Visa Crédito,240000,2021-08-23,1
T00271,C0117,Visa Débito,0,2024-10-27,1
T00272,C0117,Mastercard Crédito,470000,2024-10-28,1
T00273,C0117,Visa Crédito,780000,2024-09-16,1
T00274,C0118,Visa Débito,0,2016-02-06,1
T00275,C0118,Mastercard Crédito,310000,2021-03-17,1
T00276,C0119,Visa Débito,0,2024-08-30,1
T00277,C0120,Visa Débito,0,2024-08-11,0
T00278,C0121,Visa Débito,0,2019-10-30,1
T00279,C0121,Visa Crédito,520000,2021-04-09,1
T00280,C0121,Mastercard Crédito,880000,2020-11-26,1
T00281,C0122,Visa Débito,0,2021-04-29,1
T00282,C0122,Mastercard Crédito,740000,2017-07-11,1
T00283,C0122,Visa Crédito,390000,2019-01-28,1
T00284,C0123,Visa Débito,0,2024-09-18,1
T00285,C0124,Visa Débito,0,2023-11-30,1
T00286,C0124,Mastercard Crédito,1160000,2021-10-27,1
T00287,C0125,Visa Débito,0,2021-12-31,1
T00288,C0125,Mastercard Crédito,9620000,2021-07-18,1
T00289,C0125,Visa Crédito,10370000,2020-06-22,1
T00290,C0126,Visa Débito,0,2023-11-13,0
T00291,C0127,Visa Débito,0,2024-03-14,1
T00292,C0128,Visa Débito,0,2023-03-26,1
T00293,C0128,Visa Crédito,1980000,2023-10-06,1
T00294,C0128,Amex Crédito,2170000,2022-12-10,1
T00295,C0129,Visa Débito,0,2024-11-16,1
T00296,C0129,Visa Crédito,410000,2024-11-01,1
T00297,C0131,Visa Débito,0,2024-01-20,1
T00298,C0131,Visa Crédito,830000,2024-03-13,1
T00299,C0131,Amex Crédito,620000,2024-09-13,1
T00300,C0132,Visa Débito,0,2024-11-29,1
T00301,C0132,Mastercard Crédito,550000,2024-06-05,1
T00302,C0133,Visa Débito,0,2023-11-25,0
T00303,C0133,Amex Crédito,7320000,2022-12-05,0
T00304,C0135,Visa Débito,0,2020-08-17,1
T00305,C0136,Visa Débito,0,2020-04-22,1
T00306,C0136,Visa Crédito,420000,2022-11-30,1
T00307,C0136,Mastercard Crédito,350000,2022-12-12,1
T00308,C0137,Visa Débito,0,2024-07-19,1
T00309,C0138,Visa Débito,0,2021-10-21,1
T00310,C0138,Mastercard Crédito,4170000,2013-05-26,1
T00311,C0138,Visa Crédito,4910000,2022-09-18,1
T00312,C0139,Visa Débito,0,2024-11-05,0
T00313,C0140,Visa Débito,0,2024-09-28,1
T00314,C0140,Mastercard Crédito,140000,2024-08-09,1
T00315,C0141,Visa Débito,0,2024-09-15,1
T00316,C0142,Visa Débito,0,2024-11-09,0
T00317,C0142,Visa Crédito,160000,2024-10-03,0
T00318,C0143,Visa Débito,0,2023-02-09,1
T00319,C0143,Visa Crédito,7580000,2023-09-10,1
T00320,C0143,Amex Crédito,10330000,2022-09-09,1
T00321,C0143,Mastercard Crédito,5330000,2024-01-13,0
T00322,C0144,Visa Débito,0,2021-04-28,1
T00323,C0145,Visa Débito,0,2024-11-14,1
T00324,C0145,Mastercard Crédito,950000,2024-11-26,1
T00325,C0145,Visa Crédito,900000,2024-10-18,1
T00326,C0146,Visa Débito,0,2020-07-01,1
T00327,C0146,Amex Crédito,3690000,2021-08-20,1
T00328,C0146,Visa Crédito,6220000,2021-09-13,1
T00329,C0147,Visa Débito,0,2024-08-29,1
T00330,C0147,Amex Crédito,550000,2024-09-17,1
T00331,C0148,Visa Débito,0,2024-06-13,0
T00332,C0148,Visa Crédito,6090000,2023-12-14,0
T00333,C0149,Visa Débito,0,2024-10-04,1
T00334,C0150,Visa Débito,0,2019-10-17,1
T00335,C0151,Visa Débito,0,2018-12-25,0
T00336,C0151,Mastercard Crédito,800000,2017-05-29,1
T00337,C0152,Visa Débito,0,2024-08-25,1
T00338,C0153,Visa Débito,0,2023-12-06,1
T00339,C0153,Mastercard Crédito,4000000,2022-12-25,1
T00340,C0153,Visa Crédito,2590000,2022-11-27,1
T00341,C0154,Visa Débito,0,2023-02-09,1
T00342,C0155,Visa Débito,0,2024-10-27,1
T00343,C0155,Mastercard Crédito,440000,2024-02-29,1
T00344,C0156,Visa Débito,0,2023-09-12,1
T00345,C0156,Visa Crédito,450000,2024-03-21,1
T00346,C0157,Visa Débito,0,2024-06-04,1
T00347,C0157,Mastercard Crédito,840000,2024-11-02,1
T00348,C0158,Visa Débito,0,2024-09-08,1
T00349,C0159,Visa Débito,0,2024-11-21,1
T00350,C0159,Visa Crédito,2640000,2023-04-24,1
T00351,C0159,Mastercard Crédito,1720000,2024-08-29,1
T00352,C0160,Visa Débito,0,2020-08-01,1
T00353,C0160,Amex Crédito,4600000,2023-01-03,1
T00354,C0160,Visa Crédito,9990000,2019-09-15,1
T00355,C0160,Mastercard Crédito,5610000,2022-09-30,1
T00356,C0161,Visa Débito,0,2013-10-11,1
T00357,C0161,Visa Crédito,8700000,2016-04-30,1
T00358,C0162,Visa Débito,0,2024-10-24,1
T00359,C0163,Visa Débito,0,2019-10-16,1
T00360,C0163,Visa Crédito,720000,2020-03-17,1
T00361,C0163,Mastercard Crédito,440000,2018-02-19,1
T00362,C0164,Visa Débito,0,2024-11-19,1
T00363,C0165,Visa Débito,0,2024-10-13,1
T00364,C0166,Visa Débito,0,2019-05-20,1
T00365,C0166,Visa Crédito,7960000,2024-01-02,1
T00366,C0167,Visa Débito,0,2024-11-24,0
T00367,C0167,Mastercard Crédito,150000,2024-11-27,0
T00368,C0168,Visa Débito,0,2023-09-25,1
T00369,C0169,Visa Débito,0,2024-06-05,0
T00370,C0169,Amex Crédito,930000,2024-04-26,1
T00371,C0170,Visa Débito,0,2024-11-23,0
T00372,C0170,Mastercard Crédito,800000,2024-10-24,0
T00373,C0170,Visa Crédito,590000,2024-11-08,0
T00374,C0171,Visa Débito,0,2023-06-12,1
T00375,C0171,Visa Crédito,500000,2023-07-01,1
T00376,C0171,Mastercard Crédito,520000,2023-08-29,1
T00377,C0172,Visa Débito,0,2024-10-13,0
T00378,C0172,Amex Crédito,480000,2024-10-26,0
T00379,C0173,Visa Débito,0,2023-05-25,1
T00380,C0173,Mastercard Crédito,1420000,2013-05-05,1
T00381,C0173,Visa Crédito,700000,2012-02-03,1
T00382,C0174,Visa Débito,0,2024-11-28,0
T00383,C0175,Visa Débito,0,2024-10-30,1
T00384,C0175,Amex Crédito,310000,2022-03-19,1
T00385,C0175,Visa Crédito,480000,2024-04-07,1
T00386,C0177,Visa Débito,0,2022-07-01,1
T00387,C0178,Visa Débito,0,2024-05-25,1
T00388,C0178,Mastercard Crédito,1620000,2024-07-24,1
T00389,C0178,Visa Crédito,1690000,2024-08-26,1
T00390,C0180,Visa Débito,0,2021-06-15,1
T00391,C0180,Mastercard Crédito,2610000,2014-10-09,1
T00392,C0180,Visa Crédito,2980000,2018-05-27,1
T00393,C0181,Visa Débito,0,2024-03-01,1
T00394,C0182,Visa Débito,0,2023-11-03,1
T00395,C0182,Mastercard Crédito,1810000,2024-01-01,1
T00396,C0182,Amex Crédito,2040000,2024-05-27,1
T00397,C0182,Visa Crédito,2110000,2024-03-21,1
T00398,C0184,Visa Débito,0,2021-10-18,1
T00399,C0184,Visa Crédito,1330000,2014-08-28,1
T00400,C0184,Amex Crédito,1580000,2012-02-14,1
T00401,C0185,Visa Débito,0,2024-10-27,0
T00402,C0185,Amex Crédito,670000,2024-03-19,0
T00403,C0186,Visa Débito,0,2022-09-18,1
T00404,C0186,Mastercard Crédito,1120000,2021-03-05,1
T00405,C0187,Visa Débito,0,2024-11-29,1
T00406,C0187,Mastercard Crédito,100000,2024-11-18,1
T00407,C0188,Visa Débito,0,2024-08-13,0
T00408,C0189,Visa Débito,0,2024-11-24,1
T00409,C0190,Visa Débito,0,2024-06-14,1
T00410,C0190,Visa Crédito,10560000,2024-05-22,1
T00411,C0190,Amex Crédito,7490000,2024-11-04,1
T00412,C0191,Visa Débito,0,2024-09-13,1
T00413,C0191,Visa Crédito,870000,2023-10-03,0
T00414,C0192,Visa Débito,0,2022-03-12,1
T00415,C0193,Visa Débito,0,2023-09-18,1
T00416,C0193,Mastercard Crédito,1320000,2023-07-11,1
T00417,C0193,Visa Crédito,830000,2022-11-09,1
T00418,C0194,Visa Débito,0,2017-01-12,1
T00419,C0194,Amex Crédito,1560000,2021-07-01,1
T00420,C0195,Visa Débito,0,2024-11-15,1
T00421,C0195,Mastercard Crédito,8890000,2024-07-13,1
T00422,C0195,Visa Crédito,4670000,2024-09-07,1
T00423,C0195,Amex Crédito,5110000,2024-10-07,1
T00424,C0196,Visa Débito,0,2024-09-15,1
T00425,C0196,Amex Crédito,1850000,2024-06-08,1
T00426,C0196,Visa Crédito,2920000,2024-06-18,1
T00427,C0196,Mastercard Crédito,1880000,2024-09-25,1
T00428,C0197,Visa Débito,0,2024-11-26,1
T00429,C0198,Visa Débito,0,2016-03-19,1
T00430,C0198,Mastercard Crédito,430000,2022-12-23,1
T00431,C0200,Visa Débito,0,2024-11-28,1
T00432,C0201,Visa Débito,0,2021-02-04,1
T00433,C0202,Visa Débito,0,2024-02-13,0
T00434,C0202,Mastercard Crédito,370000,2024-06-18,0
T00435,C0203,Visa Débito,0,2023-12-05,1
T00436,C0203,Mastercard Crédito,230000,2024-05-26,1
T00437,C0204,Visa Débito,0,2015-08-01,1
T00438,C0204,Visa Crédito,4980000,2019-06-17,1
T00439,C0204,Amex Crédito,3140000,2019-09-08,1
T00440,C0204,Mastercard Crédito,4960000,2014-12-19,1
T00441,C0206,Visa Débito,0,2019-03-21,1
T00442,C0206,Mastercard Crédito,790000,2022-04-18,1
T00443,C0206,Visa Crédito,1010000,2018-04-15,1
T00444,C0207,Visa Débito,0,2024-05-29,0
T00445,C0207,Mastercard Crédito,320000,2024-04-09,0
T00446,C0208,Visa Débito,0,2024-11-21,1
T00447,C0208,Visa Crédito,7530000,2023-08-20,1
T00448,C0208,Mastercard Crédito,7190000,2023-11-23,1
T00449,C0209,Visa Débito,0,2023-04-03,1
T00450,C0209,Visa Crédito,490000,2024-03-25,1
T00451,C0209,Mastercard Crédito,230000,2024-08-16,1
T00452,C0210,Visa Débito,0,2021-01-04,1
T00453,C0210,Mastercard Crédito,6610000,2019-07-26,1
T00454,C0210,Amex Crédito,5430000,2011-11-10,1
T00455,C0211,Visa Débito,0,2023-09-07,1
T00456,C0211,Mastercard Crédito,4400000,2023-11-23,1
T00457,C0211,Visa Crédito,2910000,2024-09-22,1
T00458,C0211,Amex Crédito,1930000,2024-01-09,1
T00459,C0212,Visa Débito,0,2024-11-24,1
T00460,C0212,Amex Crédito,450000,2024-01-20,1
T00461,C0212,Visa Crédito,430000,2022-12-12,1
T00462,C0213,Visa Débito,0,2023-08-24,1
T00463,C0214,Visa Débito,0,2024-02-12,0
T00464,C0214,Visa Crédito,440000,2023-10-30,1
T00465,C0215,Visa Débito,0,2024-11-22,1
T00466,C0215,Visa Crédito,180000,2024-09-24,1
T00467,C0216,Visa Débito,0,2020-10-21,1
T00468,C0216,Mastercard Crédito,350000,2021-07-21,1
T00469,C0216,Amex Crédito,320000,2019-07-26,1
T00470,C0217,Visa Débito,0,2020-07-13,1
T00471,C0217,Amex Crédito,8640000,2021-10-27,1
T00472,C0217,Visa Crédito,6160000,2024-08-01,1
T00473,C0218,Visa Débito,0,2023-06-30,1
T00474,C0218,Amex Crédito,500000,2024-04-17,0
T00475,C0218,Mastercard Crédito,430000,2023-07-31,0
T00476,C0219,Visa Débito,0,2016-12-12,1
T00477,C0219,Mastercard Crédito,12930000,2014-05-04,1
T00478,C0219,Visa Crédito,13110000,2007-03-18,1
T00479,C0220,Visa Débito,0,2023-03-24,1
T00480,C0221,Visa Débito,0,2024-01-02,0
T00481,C0222,Visa Débito,0,2017-09-10,1
T00482,C0223,Visa Débito,0,2023-05-24,1
T00483,C0223,Visa Crédito,250000,2023-02-14,1
T00484,C0224,Visa Débito,0,2024-08-05,0
T00485,C0225,Visa Débito,0,2024-07-30,1
T00486,C0226,Visa Débito,0,2023-12-08,0
T00487,C0227,Visa Débito,0,2023-10-10,0
T00488,C0227,Visa Crédito,260000,2024-09-17,1
T00489,C0228,Visa Débito,0,2021-11-08,1
T00490,C0229,Visa Débito,0,2024-10-26,0
T00491,C0230,Visa Débito,0,2022-08-17,1
T00492,C0230,Visa Crédito,560000,2023-07-25,1
T00493,C0230,Mastercard Crédito,400000,2023-08-11,1
T00494,C0231,Visa Débito,0,2024-10-14,1
T00495,C0231,Mastercard Crédito,3560000,2024-11-12,1
T00496,C0231,Amex Crédito,2760000,2024-06-26,1
T00497,C0231,Visa Crédito,3870000,2024-09-05,1
T00498,C0232,Visa Débito,0,2024-06-12,1
T00499,C0232,Visa Crédito,320000,2024-02-04,0
T00500,C0233,Visa Débito,0,2023-03-22,0
