transaccion_id,tarjeta_id,cliente_id,fecha,monto_ars,categoria,tipo,aprobada
TX000033,T01159,C0541,2024-01-01,4956.9,Servicios,débito,1
TX000034,T01166,C0545,2024-01-01,160054.42,Viajes,crédito,1
TX000035,T01183,C0552,2024-01-01,9391.77,Servicios,débito,1
TX000036,T01253,C0588,2024-01-01,21529.0,Supermercado,crédito,1
TX000037,T01325,C0624,2024-01-01,14385.08,Servicios,débito,1
TX000038,T01330,C0626,2024-01-01,175629.86,Viajes,crédito,1
TX000039,T01372,C0644,2024-01-01,15055.04,Combustible,crédito,1
TX000040,T01402,C0655,2024-01-01,139399.67,Supermercado,débito,1
TX000041,T01420,C0663,2024-01-01,17514.2,Supermercado,crédito,1
TX000042,T01428,C0667,2024-01-01,87001.63,Supermercado,crédito,1
TX000043,T01427,C0667,2024-01-01,20090.11,Combustible,débito,1
TX000044,T01455,C0681,2024-01-01,103454.33,Indumentaria,crédito,1
TX000045,T01492,C0698,2024-01-01,14511.25,Supermercado,débito,1
TX000046,T01500,C0702,2024-01-01,54745.0,Restaurant,crédito,1
TX000047,T01535,C0717,2024-01-01,28117.33,Salud,crédito,1
TX000048,T01608,C0750,2024-01-01,45284.23,Supermercado,débito,1
TX000049,T01629,C0762,2024-01-01,9156.3,Restaurant,crédito,1
TX000050,T01643,C0768,2024-01-01,26596.29,Entretenimiento,débito,1
TX000051,T01665,C0777,2024-01-01,30548.27,Servicios,débito,1
TX000052,T01684,C0786,2024-01-01,14128.11,Supermercado,débito,1
TX000053,T01713,C0799,2024-01-01,39777.5,Supermercado,crédito,1
TX000054,T01725,C0806,2024-01-01,15967.53,Combustible,débito,1
TX000055,T01761,C0823,2024-01-01,8933.81,Servicios,débito,1
TX000056,T01812,C0850,2024-01-01,22620.83,Supermercado,débito,1
TX000057,T01858,C0874,2024-01-01,14778.43,Salud,débito,1
TX000058,T01916,C0902,2024-01-01,59486.91,Restaurant,débito,1
TX000059,T01933,C0909,2024-01-01,16389.24,Supermercado,crédito,0
TX000060,T01972,C0933,2024-01-01,23801.46,Combustible,débito,1
TX000061,T02010,C0949,2024-01-01,68835.71,Indumentaria,débito,1
TX000062,T02093,C0994,2024-01-01,8584.74,Supermercado,débito,1
TX000063,T02101,C0997,2024-01-01,84061.44,Salud,crédito,1
TX000064,T00014,C0007,2024-01-02,128437.14,Transferencia,débito,1
TX000065,T00032,C0014,2024-01-02,34838.19,Servicios,débito,1
TX000066,T00091,C0042,2024-01-02,8357.94,Combustible,débito,1
TX000067,T00095,C0044,2024-01-02,9988.18,Entretenimiento,crédito,1
TX000068,T00215,C0093,2024-01-02,24184.7,Supermercado,crédito,1
TX000069,T00230,C0099,2024-01-02,20541.2,Supermercado,crédito,1
TX000070,T00271,C0117,2024-01-02,16214.78,Servicios,débito,0
TX000071,T00347,C0157,2024-01-02,27368.39,Indumentaria,crédito,1
TX000072,T00358,C0162,2024-01-02,12008.93,E-commerce,débito,1
TX000073,T00369,C0169,2024-01-02,14618.51,Restaurant,débito,1
TX000074,T00430,C0198,2024-01-02,31414.31,E-commerce,crédito,1
TX000075,T00549,C0256,2024-01-02,79710.94,E-commerce,crédito,1
TX000076,T00571,C0268,2024-01-02,70230.72,E-commerce,crédito,1
TX000077,T00587,C0277,2024-01-02,10897.05,Servicios,débito,1
TX000078,T00697,C0329,2024-01-02,4812.15,Servicios,débito,1
TX000079,T00769,C0361,2024-01-02,155650.63,Transferencia,débito,1
TX000080,T00786,C0370,2024-01-02,35918.8,E-commerce,débito,1
TX000081,T00793,C0374,2024-01-02,8324.67,Servicios,crédito,1
TX000082,T00848,C0398,2024-01-02,109031.24,Indumentaria,crédito,1
TX000083,T00897,C0421,2024-01-02,14055.84,Combustible,débito,1
TX000084,T00898,C0422,2024-01-02,23232.08,Supermercado,débito,1
TX000085,T00905,C0424,2024-01-02,46093.67,Entretenimiento,crédito,1
TX000086,T00971,C0458,2024-01-02,16420.51,Supermercado,débito,0
TX000087,T00984,C0462,2024-01-02,70690.38,E-commerce,crédito,1
TX000088,T00986,C0463,2024-01-02,5762.11,Servicios,débito,1
TX000089,T01083,C0509,2024-01-02,52980.53,Transferencia,débito,1
TX000090,T01089,C0512,2024-01-02,17372.33,E-commerce,crédito,1
TX000091,T01115,C0520,2024-01-02,305843.23,Transferencia,débito,1
TX000092,T01118,C0521,2024-01-02,29174.88,Supermercado,débito,1
TX000093,T01245,C0585,2024-01-02,28878.75,Servicios,débito,1
TX000094,T01273,C0598,2024-01-02,28026.15,Salud,crédito,0
TX000095,T01275,C0599,2024-01-02,48923.64,Supermercado,crédito,1
TX000096,T01283,C0603,2024-01-02,74540.96,Supermercado,débito,1
TX000097,T01403,C0655,2024-01-02,59559.2,Restaurant,crédito,1
TX000098,T01630,C0763,2024-01-02,32349.06,Combustible,débito,1
TX000099,T01773,C0831,2024-01-02,12464.54,Servicios,débito,1
TX000100,T01827,C0858,2024-01-02,73961.25,Salud,crédito,1
TX000101,T01912,C0900,2024-01-02,35877.55,Salud,crédito,1
TX000102,T01928,C0908,2024-01-02,89862.3,Supermercado,débito,1
TX000103,T02024,C0954,2024-01-02,24865.82,Servicios,débito,1
TX000104,T02096,C0995,2024-01-02,34320.51,Entretenimiento,crédito,1
TX000105,T00010,C0004,2024-01-03,21476.95,Restaurant,crédito,1
TX000106,T00015,C0007,2024-01-03,48278.23,Servicios,crédito,1
TX000107,T00059,C0026,2024-01-03,6430.19,Entretenimiento,débito,1
TX000108,T00064,C0028,2024-01-03,86726.02,Transferencia,débito,1
TX000109,T00101,C0047,2024-01-03,70294.6,Viajes,crédito,1
TX000110,T00117,C0055,2024-01-03,5928.31,Restaurant,crédito,1
TX000111,T00223,C0096,2024-01-03,25217.99,Restaurant,débito,1
TX000112,T00237,C0102,2024-01-03,213258.18,Viajes,débito,1
TX000113,T00237,C0102,2024-01-03,17402.23,Combustible,débito,1
TX000114,T00240,C0104,2024-01-03,148372.69,Supermercado,débito,1
TX000115,T00291,C0127,2024-01-03,15063.01,Restaurant,débito,1
TX000116,T00292,C0128,2024-01-03,34775.94,Supermercado,débito,1
TX000117,T00312,C0139,2024-01-03,10397.01,Indumentaria,débito,0
TX000118,T00359,C0163,2024-01-03,10037.37,Entretenimiento,débito,1
TX000119,T00386,C0177,2024-01-03,24797.24,Restaurant,débito,1
TX000120,T00462,C0213,2024-01-03,14403.24,Supermercado,débito,1
TX000121,T00462,C0213,2024-01-03,57075.48,Transferencia,débito,1
TX000122,T00516,C0241,2024-01-03,29425.01,Indumentaria,débito,1
TX000123,T00517,C0242,2024-01-03,12326.53,Supermercado,débito,1
TX000124,T00536,C0252,2024-01-03,75742.64,Transferencia,débito,1
TX000125,T00635,C0301,2024-01-03,14413.7,Entretenimiento,débito,1
TX000126,T00778,C0365,2024-01-03,61517.56,Restaurant,crédito,1
TX000127,T00815,C0384,2024-01-03,214930.04,Viajes,crédito,1
TX000128,T00815,C0384,2024-01-03,25894.55,Restaurant,crédito,1
TX000129,T00848,C0398,2024-01-03,73828.0,Restaurant,crédito,1
TX000130,T00848,C0398,2024-01-03,14002.89,Entretenimiento,crédito,1
TX000131,T00870,C0408,2024-01-03,8091.79,Servicios,débito,1
TX000132,T00882,C0414,2024-01-03,6495.1,Supermercado,débito,1
TX000133,T00896,C0420,2024-01-03,23209.29,E-commerce,débito,1
TX000134,T00916,C0430,2024-01-03,25417.45,Supermercado,débito,1
TX000135,T00928,C0437,2024-01-03,247872.7,Viajes,crédito,1
TX000136,T01002,C0470,2024-01-03,68372.98,Indumentaria,crédito,1
TX000137,T01015,C0476,2024-01-03,31299.94,Restaurant,crédito,1
TX000138,T01029,C0484,2024-01-03,38203.43,Indumentaria,crédito,1
TX000139,T01058,C0498,2024-01-03,60405.56,Supermercado,crédito,1
TX000140,T01311,C0615,2024-01-03,44913.44,E-commerce,crédito,1
TX000141,T01338,C0629,2024-01-03,8648.52,Restaurant,crédito,0
TX000142,T01366,C0641,2024-01-03,7518.82,E-commerce,débito,1
TX000143,T01369,C0643,2024-01-03,5561.94,Supermercado,débito,1
TX000144,T01598,C0745,2024-01-03,227081.89,Transferencia,débito,1
TX000145,T01613,C0753,2024-01-03,12964.64,Servicios,crédito,1
TX000146,T01627,C0761,2024-01-03,28866.4,Salud,débito,1
TX000147,T01662,C0776,2024-01-03,34548.95,Supermercado,débito,1
TX000148,T01677,C0781,2024-01-03,21230.54,Restaurant,crédito,1
TX000149,T01680,C0783,2024-01-03,30687.5,Servicios,débito,1
TX000150,T01757,C0821,2024-01-03,54063.7,Restaurant,débito,1
TX000151,T01765,C0826,2024-01-03,17557.17,Restaurant,débito,1
TX000152,T01777,C0832,2024-01-03,66234.54,Restaurant,crédito,1
TX000153,T01816,C0851,2024-01-03,13974.65,Supermercado,crédito,1
TX000154,T01817,C0852,2024-01-03,9065.15,Servicios,débito,1
TX000155,T01819,C0854,2024-01-03,21398.84,Combustible,débito,1
TX000156,T01876,C0882,2024-01-03,14813.16,Combustible,débito,1
TX000157,T01945,C0919,2024-01-03,12467.08,Combustible,débito,1
TX000158,T02011,C0949,2024-01-03,176494.09,Restaurant,crédito,1
TX000159,T02089,C0990,2024-01-03,209190.34,Indumentaria,débito,0
TX000160,T02092,C0993,2024-01-03,71608.17,Indumentaria,crédito,1
TX000161,T00018,C0008,2024-01-04,67229.03,Restaurant,crédito,1
TX000162,T00020,C0009,2024-01-04,83893.5,Entretenimiento,crédito,1
TX000163,T00036,C0015,2024-01-04,89066.25,Salud,crédito,1
TX000164,T00046,C0020,2024-01-04,155734.25,Viajes,crédito,0
TX000165,T00064,C0028,2024-01-04,16257.13,Combustible,débito,1
TX000166,T00079,C0037,2024-01-04,14590.33,Supermercado,débito,1
TX000167,T00091,C0042,2024-01-04,11232.91,Servicios,débito,1
TX000168,T00118,C0056,2024-01-04,49188.6,Salud,débito,1
TX000169,T00141,C0063,2024-01-04,87572.21,Viajes,crédito,1
TX000170,T00139,C0063,2024-01-04,30334.17,Combustible,débito,1
TX000171,T00144,C0065,2024-01-04,31354.1,E-commerce,débito,1
TX000172,T00165,C0074,2024-01-04,39971.15,Supermercado,débito,1
TX000173,T00217,C0094,2024-01-04,13930.61,Servicios,débito,1
TX000174,T00257,C0111,2024-01-04,32428.24,Supermercado,débito,1
TX000175,T00285,C0124,2024-01-04,10640.47,Supermercado,débito,1
TX000176,T00291,C0127,2024-01-04,4813.45,Servicios,débito,1
TX000177,T00360,C0163,2024-01-04,29221.93,Supermercado,crédito,1
TX000178,T00362,C0164,2024-01-04,11410.04,Supermercado,débito,1
TX000179,T00365,C0166,2024-01-04,250824.37,Salud,crédito,1
TX000180,T00369,C0169,2024-01-04,14159.21,Servicios,débito,1
TX000181,T00388,C0178,2024-01-04,11971.33,Entretenimiento,crédito,1
TX000182,T00530,C0249,2024-01-04,19623.17,Supermercado,débito,1
TX000183,T00572,C0268,2024-01-04,58359.08,Indumentaria,crédito,1
TX000184,T00593,C0280,2024-01-04,13196.56,Entretenimiento,débito,1
TX000185,T00615,C0290,2024-01-04,16040.57,Servicios,débito,1
TX000186,T00656,C0310,2024-01-04,18968.76,Combustible,débito,1
TX000187,T00660,C0313,2024-01-04,11105.97,Combustible,débito,1
TX000188,T00664,C0314,2024-01-04,28369.96,Combustible,débito,1
TX000189,T00708,C0337,2024-01-04,39647.8,Restaurant,débito,1
TX000190,T00725,C0344,2024-01-04,40615.6,Restaurant,débito,1
TX000191,T00738,C0348,2024-01-04,36434.0,Entretenimiento,crédito,1
TX000192,T00759,C0356,2024-01-04,68527.87,Transferencia,débito,1
TX000193,T00767,C0360,2024-01-04,7031.25,Entretenimiento,débito,1
TX000194,T00772,C0362,2024-01-04,69183.17,Supermercado,débito,1
TX000195,T00773,C0362,2024-01-04,36574.66,Salud,crédito,1
TX000196,T00800,C0378,2024-01-04,22797.09,Salud,débito,1
TX000197,T00809,C0382,2024-01-04,34579.38,Salud,débito,1
TX000198,T00812,C0383,2024-01-04,14771.06,Servicios,débito,1
TX000199,T00839,C0395,2024-01-04,7887.51,Restaurant,débito,1
TX000200,T00873,C0409,2024-01-04,19061.58,Supermercado,débito,1
TX000201,T00881,C0413,2024-01-04,5346.49,Servicios,débito,1
TX000202,T00896,C0420,2024-01-04,24604.82,Salud,débito,1
TX000203,T00958,C0450,2024-01-04,33050.51,Servicios,débito,1
TX000204,T00960,C0450,2024-01-04,104395.36,Supermercado,crédito,1
TX000205,T00992,C0466,2024-01-04,21935.31,E-commerce,crédito,1
TX000206,T01028,C0484,2024-01-04,269689.78,Transferencia,débito,1
TX000207,T01037,C0487,2024-01-04,154606.74,Viajes,crédito,1
TX000208,T01076,C0505,2024-01-04,57801.47,Transferencia,débito,1
TX000209,T01076,C0505,2024-01-04,12714.44,Salud,débito,1
TX000210,T01088,C0512,2024-01-04,12701.92,Servicios,débito,1
TX000211,T01157,C0540,2024-01-04,6089.14,E-commerce,crédito,1
TX000212,T01159,C0541,2024-01-04,9572.27,Servicios,débito,1
TX000213,T01174,C0549,2024-01-04,64224.03,Indumentaria,débito,1
TX000214,T01184,C0553,2024-01-04,10679.25,Restaurant,débito,1
TX000215,T01195,C0557,2024-01-04,13141.86,Combustible,crédito,1
TX000216,T01230,C0575,2024-01-04,5705.38,Servicios,débito,1
TX000217,T01252,C0588,2024-01-04,25188.53,Combustible,débito,1
TX000218,T01254,C0589,2024-01-04,36606.86,Salud,débito,1
TX000219,T01293,C0608,2024-01-04,460127.84,Transferencia,débito,1
TX000220,T01304,C0612,2024-01-04,21919.73,Servicios,crédito,1
TX000221,T01381,C0647,2024-01-04,64268.91,Indumentaria,crédito,1
TX000222,T01430,C0668,2024-01-04,26173.38,Supermercado,débito,1
TX000223,T01482,C0694,2024-01-04,2751.64,Servicios,débito,1
TX000224,T01525,C0713,2024-01-04,73520.68,Salud,débito,1
TX000225,T01586,C0740,2024-01-04,18390.47,Servicios,débito,1
TX000226,T01596,C0744,2024-01-04,10946.44,Supermercado,débito,1
TX000227,T01608,C0750,2024-01-04,9022.54,Entretenimiento,débito,0
TX000228,T01669,C0778,2024-01-04,45389.94,E-commerce,crédito,1
TX000229,T01706,C0797,2024-01-04,7118.95,Servicios,débito,1
TX000230,T01746,C0815,2024-01-04,14649.33,Supermercado,crédito,1
TX000231,T01826,C0858,2024-01-04,7407.71,Servicios,débito,1
TX000232,T01843,C0866,2024-01-04,42045.95,E-commerce,débito,1
TX000233,T01847,C0869,2024-01-04,8955.59,Entretenimiento,crédito,1
TX000234,T01852,C0871,2024-01-04,109966.45,Supermercado,crédito,1
TX000235,T01890,C0890,2024-01-04,13958.31,Servicios,débito,1
TX000236,T01894,C0891,2024-01-04,89322.37,Restaurant,crédito,1
TX000237,T01892,C0891,2024-01-04,35810.71,Combustible,débito,1
TX000238,T01901,C0896,2024-01-04,181497.95,Indumentaria,crédito,1
TX000239,T01910,C0900,2024-01-04,51945.64,Restaurant,débito,1
TX000240,T01924,C0905,2024-01-04,11433.07,Servicios,débito,1
TX000241,T01924,C0905,2024-01-04,34696.1,Supermercado,débito,1
TX000242,T01934,C0911,2024-01-04,5923.85,Entretenimiento,débito,1
TX000243,T01938,C0915,2024-01-04,32432.2,Restaurant,débito,1
TX000244,T01961,C0928,2024-01-04,11943.98,Servicios,débito,1
TX000245,T01974,C0934,2024-01-04,155730.15,Restaurant,débito,1
TX000246,T02010,C0949,2024-01-04,25466.9,Servicios,débito,1
TX000247,T02013,C0950,2024-01-04,580447.59,Viajes,crédito,1
TX000248,T02091,C0993,2024-01-04,66862.12,Transferencia,débito,1
TX000249,T00013,C0006,2024-01-05,192895.92,Salud,crédito,1
TX000250,T00029,C0013,2024-01-05,50517.59,Restaurant,débito,1
TX000251,T00048,C0021,2024-01-05,32088.09,Combustible,débito,1
TX000252,T00048,C0021,2024-01-05,13229.59,Supermercado,débito,1
TX000253,T00062,C0027,2024-01-05,24562.83,Restaurant,crédito,1
TX000254,T00061,C0027,2024-01-05,7524.1,Servicios,débito,1
TX000255,T00097,C0045,2024-01-05,39190.39,Supermercado,crédito,1
TX000256,T00113,C0053,2024-01-05,914524.27,Transferencia,crédito,1
TX000257,T00144,C0065,2024-01-05,11259.14,Entretenimiento,débito,1
TX000258,T00168,C0075,2024-01-05,21395.73,Servicios,débito,1
TX000259,T00201,C0089,2024-01-05,23008.2,Supermercado,débito,1
TX000260,T00214,C0093,2024-01-05,23021.59,Salud,débito,1
TX000261,T00237,C0102,2024-01-05,121339.13,Restaurant,débito,1
TX000262,T00241,C0104,2024-01-05,183593.55,Indumentaria,crédito,1
TX000263,T00248,C0106,2024-01-05,7827.62,E-commerce,crédito,1
TX000264,T00276,C0119,2024-01-05,15637.23,Servicios,débito,0
TX000265,T00278,C0121,2024-01-05,61617.92,Supermercado,débito,1
TX000266,T00309,C0138,2024-01-05,138765.93,Supermercado,débito,1
TX000267,T00320,C0143,2024-01-05,56971.24,Combustible,crédito,1
TX000268,T00332,C0148,2024-01-05,166625.22,Indumentaria,crédito,1
TX000269,T00337,C0152,2024-01-05,24046.02,Servicios,débito,1
TX000270,T00342,C0155,2024-01-05,11018.03,Combustible,débito,1
TX000271,T00401,C0185,2024-01-05,16632.69,Entretenimiento,débito,1
TX000272,T00415,C0193,2024-01-05,7721.1,Servicios,débito,1
TX000273,T00423,C0195,2024-01-05,135752.1,Viajes,crédito,1
TX000274,T00489,C0228,2024-01-05,34403.4,Supermercado,débito,0
TX000275,T00507,C0237,2024-01-05,18359.09,Supermercado,débito,1
TX000276,T00638,C0302,2024-01-05,16926.16,Restaurant,débito,1
TX000277,T00665,C0314,2024-01-05,15721.61,Combustible,crédito,1
TX000278,T00745,C0351,2024-01-05,43325.59,Supermercado,débito,1
TX000279,T00762,C0358,2024-01-05,164037.61,Indumentaria,crédito,1
TX000280,T00792,C0374,2024-01-05,31778.04,Servicios,débito,1
TX000281,T00796,C0376,2024-01-05,12301.41,Combustible,crédito,1
TX000282,T00811,C0382,2024-01-05,20441.18,Restaurant,crédito,1
TX000283,T00831,C0392,2024-01-05,20461.45,Servicios,débito,1
TX000284,T00844,C0396,2024-01-05,8958.0,Supermercado,crédito,1
TX000285,T00864,C0406,2024-01-05,32587.23,Indumentaria,débito,1
TX000286,T00873,C0409,2024-01-05,36493.42,Supermercado,débito,1
TX000287,T00896,C0420,2024-01-05,4582.78,Entretenimiento,débito,1
TX000288,T00908,C0426,2024-01-05,8662.94,Restaurant,débito,1
TX000289,T00924,C0434,2024-01-05,105967.32,Transferencia,crédito,1
TX000290,T00928,C0437,2024-01-05,180434.29,Viajes,crédito,1
TX000291,T00936,C0440,2024-01-05,23826.58,Restaurant,crédito,1
TX000292,T00994,C0467,2024-01-05,59059.72,E-commerce,crédito,1
TX000293,T00999,C0469,2024-01-05,31296.2,Indumentaria,crédito,1
TX000294,T01001,C0470,2024-01-05,11430.53,Servicios,débito,1
TX000295,T01008,C0473,2024-01-05,20591.83,Combustible,débito,1
TX000296,T01014,C0476,2024-01-05,53736.55,Entretenimiento,crédito,1
TX000297,T01019,C0478,2024-01-05,16423.18,Indumentaria,crédito,1
TX000298,T01034,C0486,2024-01-05,39370.06,Restaurant,crédito,1
TX000299,T01098,C0515,2024-01-05,27471.17,Supermercado,crédito,1
TX000300,T01100,C0516,2024-01-05,100211.83,Transferencia,débito,1
TX000301,T01107,C0518,2024-01-05,68152.48,Transferencia,débito,1
TX000302,T01116,C0520,2024-01-05,22263.15,Entretenimiento,crédito,1
TX000303,T01140,C0530,2024-01-05,11377.66,Entretenimiento,débito,0
TX000304,T01169,C0547,2024-01-05,29589.95,Supermercado,débito,1
TX000305,T01182,C0551,2024-01-05,51410.69,Viajes,crédito,1
TX000306,T01191,C0556,2024-01-05,55481.75,E-commerce,crédito,0
TX000307,T01207,C0564,2024-01-05,17808.68,Restaurant,crédito,1
TX000308,T01220,C0569,2024-01-05,19015.16,Combustible,débito,1
TX000309,T01220,C0569,2024-01-05,22977.16,Combustible,débito,1
TX000310,T01277,C0600,2024-01-05,15227.04,Supermercado,débito,1
TX000311,T01283,C0603,2024-01-05,34099.52,Servicios,débito,1
TX000312,T01328,C0625,2024-01-05,28919.03,Supermercado,crédito,1
TX000313,T01365,C0640,2024-01-05,39143.0,Supermercado,débito,1
TX000314,T01368,C0642,2024-01-05,38322.09,Indumentaria,crédito,1
TX000315,T01396,C0653,2024-01-05,43487.84,Supermercado,débito,1
TX000316,T01443,C0674,2024-01-05,33039.9,Viajes,débito,1
TX000317,T01448,C0678,2024-01-05,14130.0,Indumentaria,débito,1
TX000318,T01453,C0680,2024-01-05,22778.64,Restaurant,débito,0
TX000319,T01459,C0683,2024-01-05,9078.61,Servicios,débito,1
TX000320,T01495,C0700,2024-01-05,24793.39,E-commerce,crédito,1
TX000321,T01508,C0705,2024-01-05,17885.16,Supermercado,débito,1
TX000322,T01519,C0710,2024-01-05,40328.0,Combustible,débito,1
TX000323,T01521,C0710,2024-01-05,32389.21,Supermercado,crédito,1
TX000324,T01534,C0717,2024-01-05,17175.07,Combustible,débito,1
TX000325,T01542,C0719,2024-01-05,74919.75,Entretenimiento,crédito,1
TX000326,T01543,C0720,2024-01-05,3070.74,Restaurant,débito,1
TX000327,T01590,C0741,2024-01-05,18317.79,Combustible,crédito,1
TX000328,T01601,C0746,2024-01-05,11582.29,Servicios,débito,1
TX000329,T01620,C0756,2024-01-05,67574.09,Restaurant,crédito,1
TX000330,T01622,C0757,2024-01-05,181415.14,Transferencia,débito,1
TX000331,T01626,C0760,2024-01-05,6404.23,Servicios,débito,1
TX000332,T01661,C0775,2024-01-05,71044.45,Supermercado,crédito,1
TX000333,T01675,C0781,2024-01-05,95063.74,Servicios,débito,1
TX000334,T01675,C0781,2024-01-05,21486.22,Restaurant,débito,1
TX000335,T01687,C0787,2024-01-05,11378.91,Salud,débito,1
TX000336,T01694,C0791,2024-01-05,20968.41,Restaurant,crédito,1
TX000337,T01702,C0795,2024-01-05,318486.3,Viajes,crédito,1
TX000338,T01718,C0803,2024-01-05,25451.46,Supermercado,débito,1
TX000339,T01753,C0819,2024-01-05,10541.98,Restaurant,débito,1
TX000340,T01754,C0820,2024-01-05,22301.59,Combustible,débito,1
TX000341,T01770,C0828,2024-01-05,18760.37,Entretenimiento,crédito,1
TX000342,T01789,C0839,2024-01-05,22438.63,Indumentaria,crédito,1
TX000343,T01803,C0846,2024-01-05,212050.49,Viajes,crédito,1
TX000344,T01815,C0851,2024-01-05,23215.6,Combustible,débito,1
TX000345,T01826,C0858,2024-01-05,82341.49,Supermercado,débito,1
TX000346,T01844,C0867,2024-01-05,51112.94,Transferencia,débito,1
TX000347,T01894,C0891,2024-01-05,14013.33,Restaurant,crédito,1
TX000348,T01902,C0897,2024-01-05,11389.0,Combustible,débito,1
TX000349,T01934,C0911,2024-01-05,24481.67,Supermercado,débito,0
TX000350,T01944,C0918,2024-01-05,10884.74,Supermercado,débito,1
TX000351,T01953,C0924,2024-01-05,103781.96,Restaurant,débito,1
TX000352,T01981,C0936,2024-01-05,35372.1,Restaurant,débito,1
TX000353,T02022,C0953,2024-01-05,54107.82,Entretenimiento,crédito,1
TX000354,T02026,C0956,2024-01-05,45653.12,Transferencia,débito,1
TX000355,T02074,C0983,2024-01-05,51857.68,E-commerce,crédito,1
TX000356,T00032,C0014,2024-01-06,164088.15,Transferencia,débito,0
TX000357,T00064,C0028,2024-01-06,55245.67,Servicios,débito,1
TX000358,T00084,C0039,2024-01-06,15474.47,Restaurant,crédito,1
TX000359,T00097,C0045,2024-01-06,17199.81,Salud,crédito,1
TX000360,T00099,C0046,2024-01-06,19973.82,Supermercado,débito,1
TX000361,T00105,C0050,2024-01-06,31200.27,Indumentaria,débito,1
TX000362,T00146,C0066,2024-01-06,13945.75,Restaurant,crédito,1
TX000363,T00163,C0073,2024-01-06,24541.94,Combustible,crédito,0
TX000364,T00167,C0074,2024-01-06,10342.66,Servicios,crédito,1
TX000365,T00180,C0080,2024-01-06,76751.55,Indumentaria,crédito,1
TX000366,T00178,C0080,2024-01-06,23062.64,Combustible,débito,1
TX000367,T00178,C0080,2024-01-06,21588.38,Salud,débito,1
TX000368,T00198,C0088,2024-01-06,13227.21,Combustible,débito,1
TX000369,T00198,C0088,2024-01-06,29073.78,Indumentaria,débito,1
TX000370,T00236,C0101,2024-01-06,42009.53,Supermercado,crédito,1
TX000371,T00237,C0102,2024-01-06,112478.17,Combustible,débito,0
TX000372,T00248,C0106,2024-01-06,17889.18,Transferencia,crédito,1
TX000373,T00266,C0114,2024-01-06,12068.12,Restaurant,débito,1
TX000374,T00267,C0115,2024-01-06,48621.69,Servicios,débito,1
TX000375,T00295,C0129,2024-01-06,28938.41,Combustible,débito,1
TX000376,T00308,C0137,2024-01-06,16129.95,Indumentaria,débito,1
TX000377,T00333,C0149,2024-01-06,17056.18,Combustible,débito,1
TX000378,T00408,C0189,2024-01-06,68003.29,Transferencia,débito,1
TX000379,T00409,C0190,2024-01-06,84234.35,Entretenimiento,débito,1
TX000380,T00409,C0190,2024-01-06,48828.69,Servicios,débito,1
TX000381,T00420,C0195,2024-01-06,69519.43,Salud,débito,0
TX000382,T00449,C0209,2024-01-06,19489.21,Supermercado,débito,1
TX000383,T00476,C0219,2024-01-06,49591.65,Restaurant,débito,1
TX000384,T00476,C0219,2024-01-06,123589.28,Salud,débito,1
TX000385,T00484,C0224,2024-01-06,18840.05,Supermercado,débito,1
