cliente_id,nombre,edad,provincia,segmento,antiguedad_años,balance_ars,cant_productos,cliente_activo,churn
C0136,Cliente 136,40,CABA,Joven,3.9,22800.0,1,1,0
C0137,Cliente 137,41,Córdoba,Retail,9.1,337100.0,5,1,0
C0138,Cliente 138,54,CABA,Retail,7.5,921000.0,1,1,0
C0139,Cliente 139,52,CABA,Retail,1.5,5400.0,4,1,0
C0140,Cliente 140,61,CABA,PyME,1.3,9700.0,2,0,0
C0141,Cliente 141,57,Buenos Aires,Premium,16.0,223650.0,4,1,0
C0142,Cliente 142,39,Buenos Aires,Premium,3.0,142450.0,4,1,0
C0143,Cliente 143,44,CABA,Retail,9.5,1029500.0,3,1,0
C0144,Cliente 144,52,CABA,Premium,0.7,291550.0,3,0,0
C0145,Cliente 145,18,CABA,Retail,4.1,483500.0,4,1,0
C0146,Cliente 146,52,Santa Fe,PyME,6.6,2800.0,2,1,0
C0147,Cliente 147,54,Córdoba,Premium,11.8,710850.0,4,1,0
C0148,Cliente 148,64,Buenos Aires,Retail,1.6,20500.0,3,0,0
C0149,Cliente 149,31,Mendoza,Retail,5.2,20000.0,2,0,0
C0150,Cliente 150,20,CABA,Retail,3.1,41300.0,4,1,0
C0151,Cliente 151,18,Santa Fe,Retail,0.3,7100.0,5,1,0
C0152,Cliente 152,22,Córdoba,Retail,4.7,116300.0,5,1,0
C0153,Cliente 153,43,Rosario,Premium,4.7,278950.0,4,1,0
C0154,Cliente 154,31,Santa Fe,Retail,10.7,89300.0,2,1,1
C0155,Cliente 155,56,Santa Fe,Retail,2.8,226500.0,4,0,1
C0156,Cliente 156,44,Santa Fe,Retail,1.0,580800.0,4,1,0
C0157,Cliente 157,26,Buenos Aires,Retail,0.2,34700.0,3,0,0
C0158,Cliente 158,32,Buenos Aires,PyME,2.1,122500.0,5,1,0
C0159,Cliente 159,32,Santa Fe,Retail,1.4,92900.0,3,1,1
C0160,Cliente 160,43,CABA,Premium,5.7,369250.0,3,1,1
C0161,Cliente 161,59,Santa Fe,PyME,1.7,107900.0,4,1,0
C0162,Cliente 162,30,Buenos Aires,Premium,11.9,2277450.0,3,1,0
C0163,Cliente 163,68,CABA,PyME,13.1,30000.0,5,1,0
C0164,Cliente 164,49,CABA,Retail,3.9,6100.0,3,1,0
C0165,Cliente 165,56,CABA,Joven,10.6,21000.0,5,1,0
C0166,Cliente 166,66,Córdoba,Retail,5.7,186400.0,3,1,0
C0167,Cliente 167,69,CABA,Retail,3.2,62000.0,5,0,1
C0168,Cliente 168,49,CABA,Premium,0.8,103950.0,3,1,0
C0169,Cliente 169,21,CABA,Joven,2.5,11900.0,3,0,0
C0170,Cliente 170,47,CABA,PyME,3.3,83400.0,2,1,1
C0171,Cliente 171,54,Santa Fe,Retail,8.0,157400.0,5,0,1
C0172,Cliente 172,40,Buenos Aires,Retail,2.6,94700.0,5,1,0
C0173,Cliente 173,56,Córdoba,Joven,9.1,40900.0,5,0,0
C0174,Cliente 174,62,Córdoba,Retail,4.5,74600.0,1,1,0
C0175,Cliente 175,32,Santa Fe,PyME,0.6,74000.0,3,1,0
C0176,Cliente 176,60,Córdoba,PyME,20.0,79600.0,5,1,1
C0177,Cliente 177,46,Mendoza,Retail,3.0,10100.0,1,1,1
C0178,Cliente 178,53,Rosario,Retail,2.0,80500.0,2,1,0
C0179,Cliente 179,30,CABA,Retail,4.3,30900.0,5,1,0
C0180,Cliente 180,49,Buenos Aires,Retail,0.5,285200.0,5,1,0
C0181,Cliente 181,24,CABA,PyME,4.0,73100.0,1,0,1
C0182,Cliente 182,68,Buenos Aires,Retail,2.8,209700.0,3,1,0
C0183,Cliente 183,39,Córdoba,PyME,2.1,38100.0,2,1,0
C0184,Cliente 184,45,Tucumán,Retail,12.2,40200.0,5,1,0
C0185,Cliente 185,19,Buenos Aires,Joven,3.0,563200.0,3,1,0
C0186,Cliente 186,59,Buenos Aires,Retail,1.0,115200.0,2,1,0
C0187,Cliente 187,62,Buenos Aires,Retail,2.5,20500.0,4,1,0
C0188,Cliente 188,70,Santa Fe,Retail,10.1,229900.0,4,0,1
C0189,Cliente 189,23,Córdoba,PyME,0.8,26900.0,2,0,1
C0190,Cliente 190,45,Buenos Aires,Premium,1.0,294000.0,1,0,0
C0191,Cliente 191,45,Tucumán,PyME,0.1,941300.0,2,1,0
C0192,Cliente 192,61,Santa Fe,Retail,0.1,7000.0,2,1,0
C0193,Cliente 193,61,Buenos Aires,Retail,7.1,46000.0,1,1,0
C0194,Cliente 194,37,Córdoba,Premium,5.3,386750.0,1,1,0
C0195,Cliente 195,47,Santa Fe,Retail,1.8,188500.0,3,1,1
C0196,Cliente 196,28,CABA,Retail,4.8,9300.0,3,1,0
C0197,Cliente 197,45,Buenos Aires,Joven,2.0,6000.0,1,1,0
C0198,Cliente 198,42,Buenos Aires,Joven,12.2,307500.0,4,1,1
C0199,Cliente 199,56,Buenos Aires,Joven,13.7,20300.0,4,1,1
C0200,Cliente 200,50,Mendoza,PyME,2.0,19100.0,2,1,0
C0201,Cliente 201,18,Tucumán,Retail,7.7,612500.0,5,1,0
C0202,Cliente 202,44,Buenos Aires,Retail,5.9,66500.0,2,1,0
C0203,Cliente 203,69,Buenos Aires,Premium,1.5,234850.0,2,1,0
C0204,Cliente 204,30,Buenos Aires,PyME,1.1,45700.0,5,1,0
C0205,Cliente 205,58,Buenos Aires,Retail,2.5,9500.0,1,0,0
C0206,Cliente 206,20,Mendoza,Retail,6.1,165000.0,4,1,1
C0207,Cliente 207,56,CABA,Retail,12.9,110700.0,2,1,0
C0208,Cliente 208,23,CABA,Premium,5.8,269850.0,5,1,0
C0209,Cliente 209,25,Buenos Aires,PyME,7.7,50300.0,3,1,0
C0210,Cliente 210,44,Córdoba,PyME,3.7,38600.0,2,0,0
C0211,Cliente 211,26,CABA,Retail,7.2,235300.0,4,1,1
C0212,Cliente 212,54,Santa Fe,Joven,6.1,48400.0,1,1,0
C0213,Cliente 213,50,Buenos Aires,Premium,1.9,190400.0,2,0,0
C0214,Cliente 214,68,Santa Fe,Retail,3.2,132600.0,2,1,0
C0215,Cliente 215,59,Córdoba,Retail,6.5,81800.0,5,1,0
C0216,Cliente 216,61,Buenos Aires,Retail,0.2,703200.0,3,1,0
C0217,Cliente 217,41,CABA,Retail,6.6,4300.0,3,1,0
C0218,Cliente 218,32,Mendoza,Joven,0.8,93900.0,1,1,0
C0219,Cliente 219,71,Tucumán,Retail,2.9,20800.0,4,1,0
C0220,Cliente 220,49,CABA,PyME,6.6,14600.0,1,0,0
C0221,Cliente 221,49,CABA,Retail,1.2,30200.0,2,1,1
C0222,Cliente 222,41,Tucumán,Retail,1.1,65000.0,2,1,1
C0223,Cliente 223,58,Córdoba,Retail,2.1,69500.0,3,1,0
C0224,Cliente 224,69,Buenos Aires,Retail,9.0,6100.0,4,0,0
C0225,Cliente 225,66,Tucumán,Retail,0.0,26600.0,5,0,0
C0226,Cliente 226,66,Buenos Aires,Joven,9.3,91300.0,4,1,0
C0227,Cliente 227,69,Córdoba,Premium,0.7,56350.0,2,1,0
C0228,Cliente 228,29,Buenos Aires,Premium,18.5,39200.0,5,1,1
C0229,Cliente 229,56,Buenos Aires,Retail,12.4,2000.0,4,1,1
C0230,Cliente 230,19,CABA,Retail,2.7,22100.0,4,1,0
C0231,Cliente 231,20,Santa Fe,Retail,2.9,10700.0,5,1,0
C0232,Cliente 232,66,Buenos Aires,Premium,2.6,47950.0,2,1,1
C0233,Cliente 233,54,Buenos Aires,Retail,4.0,39800.0,4,0,0
C0234,Cliente 234,66,Buenos Aires,Retail,0.4,24300.0,5,1,0
C0235,Cliente 235,34,CABA,Premium,0.1,36400.0,2,0,0
C0236,Cliente 236,66,Rosario,Retail,0.2,2500.0,5,1,0
C0237,Cliente 237,19,CABA,Retail,2.4,94200.0,5,1,0
C0238,Cliente 238,19,Córdoba,Retail,1.3,185200.0,4,1,0
C0239,Cliente 239,45,Mendoza,Joven,3.9,33000.0,2,1,0
C0240,Cliente 240,71,CABA,Premium,19.5,140700.0,4,1,0
C0241,Cliente 241,40,Buenos Aires,Retail,2.0,60100.0,1,1,0
C0242,Cliente 242,54,Buenos Aires,Retail,3.4,639300.0,1,1,0
C0243,Cliente 243,49,CABA,Joven,2.1,5700.0,2,1,0
C0244,Cliente 244,50,CABA,Premium,7.5,112700.0,5,1,0
C0245,Cliente 245,18,CABA,Retail,9.3,4500.0,4,1,1
C0246,Cliente 246,36,Santa Fe,PyME,8.4,103100.0,4,1,0
C0247,Cliente 247,19,CABA,Retail,14.7,48200.0,2,1,0
C0248,Cliente 248,70,CABA,Premium,0.1,284200.0,2,0,1
C0249,Cliente 249,61,Córdoba,Premium,7.3,263550.0,1,1,0
C0250,Cliente 250,43,CABA,Retail,5.6,264600.0,3,1,0
C0251,Cliente 251,49,Mendoza,Joven,1.0,134200.0,2,1,0
C0252,Cliente 252,23,Córdoba,PyME,12.5,208100.0,3,1,0
C0253,Cliente 253,49,Buenos Aires,Premium,0.6,42350.0,2,0,0
C0254,Cliente 254,21,Santa Fe,Retail,4.6,358500.0,5,1,1
C0255,Cliente 255,28,CABA,Retail,1.0,20300.0,5,1,0
C0256,Cliente 256,34,CABA,Retail,2.3,22100.0,1,1,0
C0257,Cliente 257,55,CABA,PyME,5.1,89900.0,1,1,1
C0258,Cliente 258,41,CABA,Retail,3.3,94200.0,3,0,0
C0259,Cliente 259,22,Santa Fe,Premium,2.2,42000.0,2,1,0
C0260,Cliente 260,69,Buenos Aires,PyME,1.6,46200.0,4,1,0
C0261,Cliente 261,51,CABA,Retail,7.3,558100.0,1,1,0
C0262,Cliente 262,23,Buenos Aires,Premium,0.6,23100.0,4,1,0
C0263,Cliente 263,39,Santa Fe,Retail,2.2,555600.0,4,1,0
C0264,Cliente 264,28,Buenos Aires,Joven,9.4,41700.0,2,1,0
C0265,Cliente 265,65,Mendoza,Retail,7.5,1800.0,3,1,0
C0266,Cliente 266,33,CABA,Retail,2.0,7700.0,2,0,0
C0267,Cliente 267,50,Santa Fe,Retail,5.8,14100.0,1,1,0
C0268,Cliente 268,26,Rosario,Retail,6.9,23500.0,4,1,0
C0269,Cliente 269,23,Mendoza,PyME,8.8,51200.0,2,1,0
C0270,Cliente 270,33,Mendoza,PyME,3.1,1000.0,2,0,0
C0271,Cliente 271,46,CABA,Premium,0.9,277200.0,2,1,1
C0272,Cliente 272,20,Córdoba,Retail,1.2,12300.0,1,1,0
C0273,Cliente 273,37,Buenos Aires,Retail,1.4,482000.0,3,1,0
C0274,Cliente 274,53,Buenos Aires,Retail,3.6,39900.0,2,1,0
C0275,Cliente 275,36,CABA,Premium,0.1,862050.0,1,1,0
C0276,Cliente 276,43,Córdoba,PyME,4.0,316600.0,4,1,0
C0277,Cliente 277,20,CABA,Retail,1.8,304000.0,5,1,0
C0278,Cliente 278,36,Córdoba,Retail,1.4,25600.0,1,1,1
C0279,Cliente 279,37,Mendoza,Premium,8.5,87850.0,5,1,0
C0280,Cliente 280,49,Córdoba,PyME,2.5,42700.0,2,0,0
C0281,Cliente 281,24,Santa Fe,PyME,0.4,155500.0,2,0,0
C0282,Cliente 282,69,Santa Fe,PyME,7.0,27800.0,1,1,0
C0283,Cliente 283,58,Rosario,Retail,0.2,50100.0,5,1,0
C0284,Cliente 284,50,Córdoba,Retail,5.2,90300.0,2,1,0
C0285,Cliente 285,57,Santa Fe,PyME,5.9,15400.0,4,1,1
C0286,Cliente 286,56,Rosario,Premium,1.7,49000.0,3,0,0
C0287,Cliente 287,35,Tucumán,Retail,7.0,47200.0,3,1,0
C0288,Cliente 288,57,Buenos Aires,PyME,2.9,57600.0,2,1,0
C0289,Cliente 289,18,CABA,PyME,2.5,114800.0,5,0,0
C0290,Cliente 290,28,CABA,Premium,0.2,574000.0,2,1,0
C0291,Cliente 291,45,Buenos Aires,Premium,1.4,40250.0,5,1,0
C0292,Cliente 292,42,Córdoba,Retail,10.7,17700.0,4,1,0
C0293,Cliente 293,67,Santa Fe,Premium,2.0,49000.0,5,1,0
C0294,Cliente 294,40,Mendoza,Premium,3.2,1743700.0,2,1,0
C0295,Cliente 295,48,Buenos Aires,PyME,3.0,50000.0,4,1,0
C0296,Cliente 296,47,Mendoza,PyME,3.6,61300.0,1,0,1
C0297,Cliente 297,59,Córdoba,PyME,0.3,65300.0,3,1,0
C0298,Cliente 298,52,Santa Fe,Retail,1.8,20500.0,2,0,0
C0299,Cliente 299,24,Tucumán,PyME,5.1,625600.0,2,1,1
C0300,Cliente 300,33,Córdoba,PyME,0.9,110900.0,2,1,0
C0301,Cliente 301,43,CABA,Premium,0.9,222250.0,4,1,0
C0302,Cliente 302,65,Mendoza,PyME,0.0,11400.0,1,0,0
C0303,Cliente 303,69,CABA,PyME,2.3,10500.0,5,0,1
C0304,Cliente 304,66,Buenos Aires,Retail,8.6,37700.0,1,1,0
C0305,Cliente 305,19,Mendoza,Premium,0.2,73500.0,4,0,0
C0306,Cliente 306,18,CABA,Retail,0.8,12100.0,2,0,0
C0307,Cliente 307,65,Santa Fe,Retail,1.5,34300.0,3,0,0
C0308,Cliente 308,29,CABA,Premium,5.3,151550.0,2,1,0
C0309,Cliente 309,22,Mendoza,PyME,4.1,74100.0,5,0,0
C0310,Cliente 310,54,Buenos Aires,Retail,2.2,28100.0,3,0,0
C0311,Cliente 311,49,Rosario,Retail,5.7,13200.0,2,1,0
C0312,Cliente 312,26,Santa Fe,Premium,3.8,48650.0,3,0,0
C0313,Cliente 313,58,Buenos Aires,Retail,9.1,369300.0,1,1,0
C0314,Cliente 314,52,Córdoba,Retail,6.8,9200.0,4,1,1
C0315,Cliente 315,36,Rosario,Retail,1.2,103200.0,2,1,0
C0316,Cliente 316,65,CABA,Retail,1.3,130500.0,5,1,0
C0317,Cliente 317,33,Buenos Aires,Retail,0.5,49900.0,1,1,0
C0318,Cliente 318,20,CABA,Retail,1.6,848900.0,2,1,0
C0319,Cliente 319,37,CABA,Retail,20.0,127100.0,1,0,1
C0320,Cliente 320,41,Santa Fe,PyME,2.1,950100.0,5,1,1
C0321,Cliente 321,71,Córdoba,Premium,1.0,78750.0,2,1,1
C0322,Cliente 322,50,CABA,PyME,5.8,23100.0,5,1,0
C0323,Cliente 323,41,Buenos Aires,Retail,3.1,132100.0,3,1,0
C0324,Cliente 324,69,Córdoba,Retail,0.6,40400.0,5,0,0
C0325,Cliente 325,28,CABA,PyME,1.9,750500.0,3,1,0
C0326,Cliente 326,66,Buenos Aires,Retail,2.1,100000.0,2,0,0
C0327,Cliente 327,25,Tucumán,Retail,5.6,12500.0,3,1,1
C0328,Cliente 328,53,Córdoba,Premium,0.1,15400.0,2,1,0
C0329,Cliente 329,55,Córdoba,Premium,1.3,186200.0,2,1,0
C0330,Cliente 330,57,Mendoza,Retail,2.9,52400.0,4,1,0
C0331,Cliente 331,37,CABA,Retail,1.3,95900.0,2,1,1
C0332,Cliente 332,52,Santa Fe,Premium,4.0,1288350.0,3,1,0
C0333,Cliente 333,65,CABA,Retail,2.6,302100.0,4,1,0
C0334,Cliente 334,42,Buenos Aires,Premium,1.8,87850.0,4,1,1
C0335,Cliente 335,52,CABA,PyME,11.9,8600.0,2,1,0
C0336,Cliente 336,42,CABA,Joven,4.0,9400.0,5,1,0
C0337,Cliente 337,46,Santa Fe,Retail,0.6,19800.0,5,1,0
C0338,Cliente 338,35,Buenos Aires,PyME,3.3,34500.0,4,1,0
C0339,Cliente 339,63,Buenos Aires,Premium,6.1,331100.0,2,0,1
C0340,Cliente 340,35,Buenos Aires,Retail,4.9,18000.0,5,1,0
C0341,Cliente 341,19,Buenos Aires,Retail,0.8,91200.0,2,1,0
C0342,Cliente 342,71,Santa Fe,PyME,14.4,103100.0,2,0,0
C0343,Cliente 343,52,Buenos Aires,Retail,2.4,74200.0,4,1,0
C0344,Cliente 344,33,Córdoba,Retail,0.7,11000.0,4,1,0
C0345,Cliente 345,58,CABA,Retail,0.8,120800.0,1,1,0
C0346,Cliente 346,53,Córdoba,PyME,0.4,1358500.0,5,1,0
C0347,Cliente 347,50,Mendoza,PyME,6.5,86600.0,5,0,0
C0348,Cliente 348,21,CABA,PyME,0.5,700.0,5,0,0
C0349,Cliente 349,50,Santa Fe,Retail,0.5,385100.0,3,0,0
C0350,Cliente 350,31,CABA,Retail,7.6,20900.0,2,1,0
C0351,Cliente 351,38,CABA,Premium,1.7,6270250.0,4,1,0
C0352,Cliente 352,65,Rosario,Retail,0.1,71300.0,5,1,1
C0353,Cliente 353,37,Buenos Aires,Retail,0.2,4800.0,1,1,0
C0354,Cliente 354,25,Buenos Aires,Premium,0.6,9450.0,5,1,0
C0355,Cliente 355,24,Santa Fe,Joven,1.0,603000.0,2,1,0
C0356,Cliente 356,20,Buenos Aires,PyME,4.4,314500.0,2,1,0
C0357,Cliente 357,34,Mendoza,PyME,0.7,1688000.0,4,1,0
C0358,Cliente 358,50,CABA,Joven,0.5,60900.0,3,0,0
C0359,Cliente 359,65,Tucumán,Retail,5.8,55000.0,4,0,1
C0360,Cliente 360,29,Santa Fe,Premium,4.4,117950.0,5,1,0
C0361,Cliente 361,68,Córdoba,Joven,2.3,22300.0,1,1,0
C0362,Cliente 362,39,Tucumán,Retail,3.2,33200.0,4,1,0
C0363,Cliente 363,39,CABA,PyME,1.5,83000.0,3,0,0
C0364,Cliente 364,63,Rosario,Premium,2.6,59150.0,4,1,1
